high_school_counselor_score_out_of_5,average_alumni_giving_rate,peer_assessment_score_out_of_5,graduation_and_retention_rank,classes_with_50_or_more_students,satact_25th_75th_percentile,student_faculty_ratio,location,freshmen_in_top_25_percent_of_high_school_class,student_selectivity_rank,percent_of_faculty_who_are_full_time,alumni_giving_rank,overperformanceunderperformance,freshmen_in_top_10_percent_of_high_school_class,rank,tuition,fall_2013_acceptance_rate,average_freshman_retention_rate,url,six_year_graduation_rate,predicted_graduation_rate,enrollment,faculty_resources_rank,classes_with_fewer_than_20_students,school_name,financial_resources_rank
,N/A,3,N/A,N/A,N/A,N/A,"Terrell, TX",N/A,N/A,N/A,N/A,N/A,N/A,"
                Unranked
            ","$7,620",N/A,N/A,/best-colleges/southwestern-christian-college-3618,N/A,N/A,,N/A,N/A,Southwestern Christian College,N/A
,N/A,2.4,N/A,N/A,N/A,N/A,"Tyler, TX",N/A,N/A,N/A,N/A,-17,N/A,"
                Unranked
            ","$10,008",N/A,N/A,/best-colleges/texas-college-3638,10%,27%,,N/A,N/A,Texas College,N/A
,N/A,2.7,N/A,N/A,N/A,N/A,"Everett, WA",N/A,N/A,N/A,N/A,11,N/A,"
                Unranked
            ","$27,042",N/A,N/A,/best-colleges/trinity-lutheran-21067,60%,49%,,N/A,N/A,Trinity Lutheran College,N/A
,N/A,N/A,N/A,N/A,N/A,N/A,"Tempe, AZ",N/A,N/A,N/A,N/A,N/A,N/A,"
                Unranked
            ","$19,700",N/A,N/A,/best-colleges/advancing-technology-25590,30%,N/A,,N/A,N/A,University of Advancing Technology,N/A
,N/A,3.1,N/A,N/A,N/A,N/A,"Kahului, HI",N/A,N/A,N/A,N/A,N/A,N/A,"
                Unranked
            ","in-state: $2,670, out-of-state: $7,422",N/A,N/A,/best-colleges/university-of-hawaii--maui-college-1615,N/A,N/A,,N/A,N/A,University of Hawaii—​Maui College,N/A
,N/A,3,N/A,0%,16-21,N/A,"Kapolei, HI",47%,N/A,75.4%,N/A,N/A,16%,"
                Unranked
            ","in-state: $6,296, out-of-state: $17,816",51.4%,51%,/best-colleges/uh-west-oahu-21078,N/A,N/A,,N/A,55.3%,University of Hawaii—​West Oahu,N/A
,2%,3.2,N/A,5%,800-990,21:1,"Houston, TX",29%,N/A,75.4%,N/A,-13,8%,"
                Unranked
            ","in-state: $6,614, out-of-state: $17,474",95.1%,62%,/best-colleges/houston-downtown-12826,13%,26%,13757,N/A,22.8%,University of Houston—​Downtown,N/A
,3.6%,2.8,N/A,0%,17-22,17:1,"Dillon, MT",18%,N/A,92.4%,N/A,4,5%,"
                Unranked
            ","in-state: $5,370, out-of-state: $15,212",74.9%,73%,/best-colleges/montana-western-2537,37%,33%,1511,N/A,64.5%,University of Montana—​Western,N/A
,N/A,3.3,N/A,N/A,N/A,N/A,"Hobbs, NM",N/A,N/A,59.2%,N/A,-9,N/A,"
                Unranked
            ","$14,280",53.6%,56%,/best-colleges/university-of-the-southwest-2650,20%,29%,,N/A,N/A,University of the Southwest,N/A
,N/A,2.7,N/A,N/A,N/A,N/A,"Rosemead, CA",N/A,N/A,N/A,N/A,N/A,N/A,"
                Unranked
            ","$9,486",N/A,N/A,/best-colleges/university-of-the-west-36963,50%,N/A,,N/A,N/A,University of the West,N/A
,0.9%,3,N/A,5%,18-24,23:1,"Orem, UT",14%,N/A,63.9%,N/A,-8,5%,"
                Unranked
            ","in-state: $5,270, out-of-state: $14,802",100%,62%,/best-colleges/utah-valley-4027,22%,30%,30564,N/A,44%,Utah Valley University,N/A
,N/A,2.7,N/A,N/A,N/A,N/A,"Carson City, NV",N/A,N/A,N/A,N/A,N/A,N/A,"
                Unranked
            ","in-state: $2,700, out-of-state: $9,345",N/A,N/A,/best-colleges/western-nevada-college-10363,N/A,N/A,,N/A,N/A,Western Nevada College,N/A
