financial_resources_rank,faculty_resources_rank,high_school_counselor_score_out_of_5,average_freshman_retention_rate,graduation_and_retention_rank,satact_25th_75th_percentile,student_selectivity_rank,rank,freshmen_in_top_10_percent_of_high_school_class,classes_with_50_or_more_students,classes_with_fewer_than_20_students,student_faculty_ratio,url,location,enrollment,tuition,predicted_graduation_rate,school_name,alumni_giving_rank,percent_of_faculty_who_are_full_time,six_year_graduation_rate,freshmen_in_top_25_percent_of_high_school_class,overperformanceunderperformance,fall_2013_acceptance_rate,peer_assessment_score_out_of_5,average_alumni_giving_rate
103,136,3.7,88,99,1050-1260,113,#103Tie,28,21,32.9,14:1,/best-colleges/ub-9554,"Buffalo, NY",29850,"in-state: $8,426, out-of-state: $20,366",65,University at Buffalo—​SUNY,147,86.9,72,63,7,56.6,3,8.4
117,147,3.5,88,79,24-29,107,#103Tie,24,4,34.6,14:1,/best-colleges/university-of-dayton-3127,"Dayton, OH",10835,"$37,230",67,University of Dayton,72,78.3,77,54,10,52.3,2.6,14.6
145,147,3.8,87,103,22-28,129,#106Tie,25,23,30,19:1,/best-colleges/iowa-state-university-1869,"Ames, IA",32955,"in-state: $7,731, out-of-state: $20,617",66,Iowa State University,75,93.3,68,56,2,85.5,3.2,14.2
117,118,4,86,99,24-29,92,#106Tie,37,7,37.5,14:1,/best-colleges/loyola-chicago-1710,"Chicago, IL",15957,"$37,412",73,Loyola University Chicago,114,75.1,71,68,-2,91.4,2.9,11.1
82,86,3.8,80,149,22-28,126,#106Tie,26,12,44.5,17:1,/best-colleges/ku-1948,"Lawrence, KS",26968,"in-state: $10,448, out-of-state: $25,731",67,University of Kansas,65,91.2,62,59,-5,88.4,3.3,15.6
77,136,3.8,84,124,23-29,107,#106Tie,33,11,41,17:1,/best-colleges/university-of-oklahoma-3184,"Norman, OK",30597,"in-state: $7,695, out-of-state: $20,469",69,University of Oklahoma,48,92,66,64,-3,80.4,3,18.6
156,129,3.9,86,114,990-1240,145,#106Tie,25,21,38.3,19:1,/best-colleges/university-of-oregon-3223,"Eugene, OR",24473,"in-state: $9,918, out-of-state: $30,888",62,University of Oregon,121,87.4,67,64,5,73.9,3.3,10.4
125,77,3.8,86,103,1070-1270,113,#106Tie,33,3,51.5,15:1,/best-colleges/university-san-francisco-1325,"San Francisco, CA",10130,"$41,450",64,University of San Francisco,132,68,69,71,5,61.1,2.8,8.9
55,144,3.8,86,135,24-29,76,#106Tie,52,15,28.5,17:1,/best-colleges/university-of-tennessee-3530,"Knoxville, TN",30030,"in-state: $11,246, out-of-state: $29,696",72,University of Tennessee,132,93.9,68,91,-4,72.5,3.1,9.5
97,118,3.8,88,108,990-1210,94,#113Tie,94,30,28.1,19:1,/best-colleges/ucr-1316,"Riverside, CA",21285,"in-state: $13,408, out-of-state: $36,286",70,University of California—​Riverside,236,93.3,69,100,-1,60.2,3.1,3.6
171,176,3.8,87,94,1110-1300,92,#113Tie,30,16,33.4,18:1,/best-colleges/university-of-south-carolina-3448,"Columbia, SC",31964,"in-state: $11,158, out-of-state: $29,440",70,University of South Carolina,48,86.7,73,66,3,64.4,2.9,18.3
156,129,3.6,88,82,23-28,157,#113Tie,22,2,41.2,15:1,/best-colleges/university-of-st-thomas-minnesota-2345,"St. Paul, MN",10221,"$34,442",66,University of St. Thomas,48,76.6,75,50,9,86.2,2.5,18.4
89,86,3.7,82,120,1010-1220,157,#116Tie,N/A,5,60.9,8:1,/best-colleges/catholic-university-1437,"Washington, DC",6725,"$39,726",62,The Catholic University of America,156,73.9,69,N/A,7,60.1,2.7,7.9
171,147,3.7,87,86,1050-1220,142,#116Tie,27,8,44,14:1,/best-colleges/duquesne-university-3258,"Pittsburgh, PA",9904,"$32,636",65,Duquesne University,156,73.8,76,60,11,74.1,2.6,7.9
103,53,3.7,93,108,25-30,64,#116Tie,45,7,58.7,12:1,/best-colleges/iit-1691,"Chicago, IL",7850,"$41,335",80,Illinois Institute of Technology,147,77.9,63,74,-17,57,2.7,8.7
125,91,3.9,82,131,24-29,87,#116Tie,30,13,46.8,13:1,/best-colleges/michigan-tech-2292,"Houghton, MI",6979,"in-state: $14,040, out-of-state: $29,520",69,Michigan Technological University,98,95.9,66,65,-3,77.8,2.7,12.5
55,61,3.7,86,120,1030-1320,112,#116Tie,36,5,51.7,14:1,/best-colleges/university-of-the-pacific-1329,"Stockton, CA",6421,"$41,342",73,University of the Pacific,121,79.2,63,68,-10,72.7,2.6,10.6
138,184,3.6,87,92,1090-1290,99,#121Tie,40,24,35.2,15:1,/best-colleges/clarkson-university-2699,"Potsdam, NY",3726,"$42,530",73,Clarkson University,75,92.5,75,76,2,64,2.7,14.3
145,106,3.6,85,135,22-27,129,#121Tie,22,19,37.4,16:1,/best-colleges/colorado-state-university-1350,"Fort Collins, CO",31256,"in-state: $9,897, out-of-state: $26,077",60,Colorado State University,132,99.2,64,52,4,77.4,2.9,8.9
177,147,3.7,86,108,23-28,113,#121Tie,25,1,40.8,16:1,/best-colleges/depaul-university-1671,"Chicago, IL",24414,"$35,071",61,DePaul University,189,75.1,70,57,9,59.9,2.8,6
138,167,3.8,88,114,1010-1230,154,#121Tie,20,7,37.6,14:1,/best-colleges/temple-university-3371,"Philadelphia, PA",37270,"in-state: $14,770, out-of-state: $25,450",58,Temple University,178,75.1,66,52,8,63.9,2.9,6.7
86,106,3.7,79,150,970-1220,154,#121Tie,31,16,37.3,22:1,/best-colleges/university-of-arizona-1083,"Tucson, AZ",40621,"in-state: $10,581, out-of-state: $28,379",65,University of Arizona,196,95,61,60,-4,77.6,3.5,5.5
156,99,3.8,85,124,960-1158,206,#126Tie,22,18,28.8,11:1,/best-colleges/rutgers-newark-2631,"Newark, NJ",11212,"in-state: $13,297, out-of-state: $28,075",55,"Rutgers, The State University of New Jersey—​Newark",225,81.6,67,52,12,54,2.7,4.5
125,110,3.8,82,131,1020-1220,145,#126Tie,35,3,47.2,14:1,/best-colleges/seton-hall-university-new-jersey-2632,"South Orange, NJ",9903,"$36,926",59,Seton Hall University,166,73.7,64,62,5,79.2,2.7,7.4
59,203,3.6,84,124,1010-1180,165,#126Tie,19,20,22.5,19:1,/best-colleges/suny-albany-2835,"Albany, NY",17338,"in-state: $8,527, out-of-state: $20,167",58,University at Albany—​SUNY,166,72.8,66,53,8,55.7,2.8,7.1
192,91,3.6,83,155,1020-1270,135,#129Tie,31,18,43.1,22:1,/best-colleges/asu-1081,"Tempe, AZ",48739,"in-state: $9,811, out-of-state: $23,312",56,Arizona State University—​Tempe,156,96.3,59,63,3,80.2,3.2,8.2
134,147,3.5,84,141,23-28,99,#129Tie,25,20,35.5,23:1,/best-colleges/lsu-baton-rouge-2010,"Baton Rouge, LA",30478,"in-state: $8,750, out-of-state: $26,467",65,Louisiana State University—​Baton Rouge,121,95.4,69,53,4,75,2.8,10.8
192,219,3.7,80,135,22-26,151,#129Tie,17,16,34.5,18:1,/best-colleges/ohio-university-3100,"Athens, OH",28786,"in-state: $10,536, out-of-state: $19,500",52,Ohio University,178,85.9,67,42,15,73,2.9,7
117,136,3.5,85,144,22-28,129,#129Tie,22,13,42.4,17:1,/best-colleges/university-of-cincinnati-3125,"Cincinnati, OH",32857,"in-state: $11,000, out-of-state: $26,334",58,University of Cincinnati,90,99.3,64,50,6,72.7,2.7,13.1
64,188,3.7,82,155,22-28,120,#129Tie,31,17,29.8,18:1,/best-colleges/university-of-kentucky-1989,"Lexington, KY",28435,"in-state: $10,616, out-of-state: $22,888",61,University of Kentucky,57,87.5,60,58,-1,68.6,2.9,16.5
47,157,3.5,87,150,21-27,145,#129Tie,21,22,34.9,13:1,/best-colleges/university-of-utah-3675,"Salt Lake City, UT",32077,"in-state: $7,935, out-of-state: $25,267",60,University of Utah,114,88.7,60,48,0,81.7,3,10.8
103,65,3.7,78,155,1050-1230,135,#135Tie,24,4,50.4,14:1,/best-colleges/hofstra-university-2732,"Hempstead, NY",10928,"$38,900",68,Hofstra University,127,70.3,62,56,-6,59,2.8,10.1
103,73,3.9,82,135,990-1240,218,#135Tie,15,1,88.8,9:1,/best-colleges/new-school-20662,"New York, NY",10401,"$41,836",64,New School,256,40.9,65,42,1,66.6,2.7,2.5
156,99,3.4,82,150,23-28,99,#135Tie,28,18,44,19:1,/best-colleges/university-of-arkansas-1108,"Fayetteville, AR",25341,"in-state: $8,210, out-of-state: $20,300",68,University of Arkansas,19,94.8,60,57,-8,58.6,2.8,26.9
177,225,3.9,87,124,1050-1250,145,#138Tie,20,15,28.5,16:1,/best-colleges/gmu-3749,"Fairfax, VA",33917,"in-state: $10,382, out-of-state: $29,960",62,George Mason University,210,74.8,67,56,5,62,3,5.1
185,184,3.6,84,131,25-31,71,#138Tie,41,20,29.9,17:1,/best-colleges/missouri-university-science-2517,"Rolla, MO",8130,"in-state: $9,537, out-of-state: $25,404",72,Missouri University of Science & Technology,60,87.7,63,71,-9,82.2,2.7,16
134,211,3.7,83,144,970-1220,165,#138Tie,25,23,27.7,21:1,/best-colleges/oregon-state-3210,"Corvallis, OR",27925,"in-state: $8,276, out-of-state: $23,540",53,Oregon State University,104,87.2,61,53,8,79.4,2.9,11.7
134,167,3.5,82,124,910-1150,218,#138Tie,30,20,37,15:1,/best-colleges/washington-state-3800,"Pullman, WA",27642,"in-state: $12,428, out-of-state: $25,510",62,Washington State University,86,88.3,65,52,3,82.1,3,13.5
205,211,3.5,84,99,22-26,200,#142Tie,N/A,11,34.4,17:1,/best-colleges/illinois-state-university-1692,"Normal, IL",20272,"in-state: $12,830, out-of-state: $20,420",55,Illinois State University,178,89.2,72,N/A,17,68.9,2.4,6.8
125,188,3.7,81,155,21-27,145,#142Tie,22,13,41.1,19:1,/best-colleges/ksu-1928,"Manhattan, KS",24581,"in-state: $9,034, out-of-state: $22,624",64,Kansas State University,35,94.1,60,48,-4,95.9,2.9,21.6
208,164,3.2,83,92,990-1170,172,#142Tie,26,0.3,45.2,13:1,/best-colleges/st-john-fisher-college-2821,"Rochester, NY",3987,"$29,550",60,St. John Fisher College,65,76.3,73,60,13,62.8,2.2,15.4
47,256,3.9,82,141,980-1190,223,#145Tie,23,10,42.1,8:1,/best-colleges/howard-university-1448,"Washington, DC",10297,"$23,970",57,Howard University,210,90.3,61,54,4,57,2.8,4.6
185,118,3.5,79,150,22-28,129,#145Tie,28,12,36.2,20:1,/best-colleges/oklahoma-state-3170,"Stillwater, OK",25939,"in-state: $7,442, out-of-state: $20,027",64,Oklahoma State University,86,91.2,61,56,-3,76,2.7,13.6
166,118,3.8,78,166,990-1210,165,#145Tie,17,6,38.2,17:1,/best-colleges/st-johns-university-new-york-2823,"Queens, NY",20729,"$38,680",52,St. John's University,196,70.5,55,42,3,52.6,2.7,5.4
198,147,3.8,86,135,1150-1370,76,#145Tie,38,27,25.3,22:1,/best-colleges/university-of-texas-dallas-9741,"Richardson, TX",21193,"in-state: $11,806, out-of-state: $30,378",74,University of Texas—​Dallas,256,86.4,63,71,-11,58.6,2.7,2.6
151,77,3.3,82,131,1020-1220,200,#149Tie,26,2,51.5,12:1,/best-colleges/adelphi-university-2666,"Garden City, NY",7645,"$32,340",58,Adelphi University,178,57.6,63,64,5,68.1,2.2,7
110,77,3.5,83,166,1030-1250,138,#149Tie,27,8,27.6,17:1,/best-colleges/njit-2621,"Newark, NJ",10130,"in-state: $15,602, out-of-state: $28,274",64,New Jersey Institute of Technology,132,80.6,58,54,-6,65.5,2.6,9.1
241,264,3.6,88,120,1000-1200,142,#149Tie,27,26,26.3,28:1,/best-colleges/sdsu-1151,"San Diego, CA",32759,"in-state: $6,866, out-of-state: $18,026",52,San Diego State University,210,71.6,67,71,15,37.2,2.8,4.9
29,110,3.4,80,203,22-28,120,#149Tie,30,15,42.1,18:1,/best-colleges/uab-1052,"Birmingham, AL",18568,"in-state: $9,280, out-of-state: $21,220",62,University of Alabama—​Birmingham,104,97.2,53,56,-9,86.7,2.7,11.8
39,208,3.7,80,170,22-26,186,#149Tie,24,19,38.2,17:1,/best-colleges/uic-1776,"Chicago, IL",27589,"in-state: $13,640, out-of-state: $26,030",63,University of Illinois—​Chicago,236,88.6,57,63,-6,71.2,3,3.5
177,203,3.6,86,144,1110-1310,99,#149Tie,25,12,38.6,20:1,/best-colleges/umbc-2105,"Baltimore, MD",13908,"in-state: $10,068, out-of-state: $21,642",68,University of Maryland—​Baltimore County,225,84.9,65,57,-3,63.2,2.8,4
225,164,3.5,83,150,21-27,138,#149Tie,24,17,41.5,19:1,/best-colleges/university-of-mississippi-2440,"University, MS",19431,"in-state: $7,096, out-of-state: $19,144",55,University of Mississippi,75,93.3,58,48,3,59.4,2.7,14.2
225,110,3.3,85,120,23-27,120,#156Tie,27,0.2,69.4,12:1,/best-colleges/maryville-saint-louis-2482,"St Louis, MO",5033,"$25,884",63,Maryville University of St. Louis,178,48.9,67,61,4,76.1,1.9,7
145,208,3.4,81,155,20-28,138,#156Tie,28,14,37.4,19:1,/best-colleges/mississippi-state-2423,"Mississippi State, MS",20161,"in-state: $6,772, out-of-state: $16,960",60,Mississippi State University,60,94.7,59,53,-1,71.4,2.5,16.3
225,231,3.6,82,144,1010-1210,151,#156Tie,22,20,24.3,20:1,/best-colleges/texas-tech-university-3644,"Lubbock, TX",33111,"in-state: $9,308, out-of-state: $20,168",58,Texas Tech University,90,94.8,59,55,1,66.3,2.8,12.9
177,73,3.6,81,181,1030-1230,154,#156Tie,22,5,50.4,18:1,/best-colleges/umass-lowell-2161,"Lowell, MA",16932,"in-state: $12,447, out-of-state: $19,560",55,University of Massachusetts—​Lowell,121,77.9,54,51,-1,63.9,2.4,10.7
156,225,3.7,86,166,1000-1210,165,#156Tie,20,17,31.3,17:1,/best-colleges/vcu-3735,"Richmond, VA",31288,"in-state: $12,398, out-of-state: $29,847",54,Virginia Commonwealth University,210,85.1,57,50,3,64,2.8,4.7
198,231,3.5,86,114,1000-1240,142,#161Tie,33,6,47.2,16:1,/best-colleges/biola-university-1122,"La Mirada, CA",6323,"$33,322",62,Biola University,104,74.9,69,63,7,74.7,1.9,11.4
77,188,3.6,78,190,22-28,165,#161Tie,20,10,31.3,16:1,/best-colleges/university-of-louisville-1999,"Louisville, KY",21447,"in-state: $10,432, out-of-state: $24,320",60,University of Louisville,75,85.4,53,33,-7,71.1,2.7,14.3
166,176,3.5,81,144,1000-1210,231,#161Tie,19,11,34.2,16:1,/best-colleges/university-of-rhode-island-3414,"Kingston, RI",16387,"in-state: $12,506, out-of-state: $28,072",60,University of Rhode Island,189,80.2,60,47,0,75.8,2.7,6
171,239,3.3,89,155,1080-1260,126,#161Tie,36,14,28.4,24:1,/best-colleges/usf-1537,"Tampa, FL",41428,"in-state: $6,410, out-of-state: $17,325",65,University of South Florida,90,89,63,65,-2,45.2,2.7,12.8
86,118,3.4,74,186,22-27,138,#161Tie,23,10,43.3,14:1,/best-colleges/university-of-wyoming-3932,"Laramie, WY",12778,"in-state: $4,646, out-of-state: $14,876",60,University of Wyoming,132,96.6,54,50,-6,95.5,2.6,8.9
125,167,3.5,79,178,910-1170,200,#166Tie,16,11,48.5,18:1,/best-colleges/university-of-idaho-1626,"Moscow, ID",11834,"in-state: $6,784, out-of-state: $20,314",54,University of Idaho,132,91.5,54,42,0,64.7,2.6,9
138,136,3.2,85,143,950-1130,192,#166Tie,23,1,62.2,14:1,/best-colleges/la-verne-1216,"La Verne, CA",5111,"$36,744",52,University of La Verne,189,68.5,59,60,7,34.4,1.9,6
151,136,3.3,79,162,20-27,145,#168Tie,22,8,66.7,9:1,/best-colleges/andrews-university-2238,"Berrien Springs, MI",3516,"$26,262",54,Andrews University,189,88.6,60,46,6,38.6,1.7,6.3
52,157,3.1,78,178,970-1200,231,#168Tie,27,13,49.9,14:1,/best-colleges/university-of-hawaii-1610,"Honolulu, HI",20006,"in-state: $10,620, out-of-state: $29,412",63,University of Hawaii—​Manoa,178,98.3,57,58,-6,79.7,2.7,6.6
117,188,3.6,76,186,21-26,223,#168Tie,15,9,41.4,19:1,/best-colleges/university-of-north-dakota-3005,"Grand Forks, ND",15143,"in-state: $7,508, out-of-state: $17,794",54,University of North Dakota,104,97.2,55,39,1,71,2.5,11.7
192,167,3.6,76,195,21-26,182,#168Tie,15,6,49.5,17:1,/best-colleges/university-of-south-dakota-10300,"Vermillion, SD",10235,"in-state: $8,022, out-of-state: $10,104",51,University of South Dakota,156,91.1,56,38,5,87.9,2.4,8.2
125,231,3.2,78,166,21-26,182,#168Tie,20,19,36.4,21:1,/best-colleges/wvu-3827,"Morgantown, WV",29466,"in-state: $6,960, out-of-state: $20,424",55,West Virginia University,98,84.1,57,45,2,85.3,2.6,12.5
156,225,3.4,85,135,980-1190,165,#173Tie,27,3,59.4,14:1,/best-colleges/azusa-pacific-1117,"Azusa, CA",10755,"$33,096",62,Azusa Pacific University,166,69.5,65,62,3,82.3,1.9,7.1
208,252,3.4,79,162,980-1170,192,#173Tie,19,9,32.7,16:1,/best-colleges/ball-state-1786,"Muncie, IN",20503,"in-state: $9,344, out-of-state: $24,610",53,Ball State University,114,93.2,60,52,7,60.6,2.5,11
239,203,3.4,72,173,20-25,182,#173Tie,12,8,45.5,18:1,/best-colleges/bowling-green-state-university-3018,"Bowling Green, OH",16958,"in-state: $10,726, out-of-state: $18,034",47,Bowling Green State University,178,87.7,54,34,7,72.5,2.5,6.9
166,86,3.3,79,173,1030-1260,172,#173Tie,28,5,53.2,9:1,/best-colleges/florida-tech-1469,"Melbourne, FL",5644,"$37,990",66,Florida Institute of Technology,37,78.3,54,55,-12,60.5,2.2,20.4
138,91,3.6,77,181,940-1150,227,#173Tie,13,2,51.4,14:1,/best-colleges/pace-university-2791,"New York, NY",12624,"$39,747",56,Pace University,210,61.9,51,40,-5,81.2,2.3,4.6
262,250,3.1,87,124,1090-1270,99,#173Tie,30,24,29.3,31:1,/best-colleges/ucf-3954,"Orlando, FL",59740,"in-state: $6,368, out-of-state: $22,467",71,University of Central Florida,127,88.1,67,71,-4,48.9,2.6,10.1
125,208,3.5,79,162,950-1190,211,#173Tie,19,15,44.7,16:1,/best-colleges/university-of-maine-2053,"Orono, ME",11247,"in-state: $10,604, out-of-state: $28,484",58,University of Maine,166,82.4,56,46,-2,83.4,2.5,7.4
214,157,3.3,74,181,19-25,211,#173Tie,12,10,38.8,18:1,/best-colleges/western-michigan-university-2330,"Kalamazoo, MI",24294,"in-state: $10,685, out-of-state: $24,917",47,Western Michigan University,196,83.5,55,35,8,82.9,2.3,5.7
221,86,3.1,80,173,20-25,172,#181Tie,15,0,78.2,10:1,/best-colleges/edgewood-college-3848,"Madison, WI",2894,"$25,590",50,Edgewood College,114,74.8,57,37,7,76.6,1.7,11.3
185,55,3,82,170,830-1060,253,#181Tie,N/A,0.2,85.5,9:1,/best-colleges/immaculata-university-3276,"Immaculata, PA",3675,"$30,740",42,Immaculata University,104,47.2,48,N/A,6,81.9,1.9,11.5
171,225,3.7,78,181,21-26,200,#181Tie,16,20,30.2,18:1,/best-colleges/north-dakota-state-9265,"Fargo, ND",14629,"in-state: $7,660, out-of-state: $18,242",53,North Dakota State University,114,91,53,40,0,84.1,2.4,11
185,254,3.6,75,173,20-25,186,#181Tie,13,15,32.3,17:1,/best-colleges/south-dakota-state-3471,"Brookings, SD",12554,"in-state: $7,713, out-of-state: $9,795",52,South Dakota State University,75,92.2,57,35,5,91.9,2.3,14.4
214,77,3.4,73,228,18-22,237,#181Tie,N/A,1,78.8,N/A,/best-colleges/spalding-university-1960,"Louisville, KY",,"$22,425",29,Spalding University,236,74.6,42,N/A,13,29.3,1.7,3.8
255,136,3.5,77,162,20-26,172,#181Tie,18,0,72.1,16:1,/best-colleges/st-marys-university-minnesota-2380,"Winona, MN",5528,"$30,315",55,St. Mary's University of Minnesota,90,38.9,55,35,0,74.9,2,13.2
97,129,3.6,79,210,23-29,107,#181Tie,28,11,40.9,16:1,/best-colleges/uah-1055,"Huntsville, AL",7376,"in-state: $9,158, out-of-state: $21,232",61,University of Alabama—​Huntsville,262,85.7,48,50,-13,80.6,2.4,1.6
225,176,3.5,76,181,950-1120,200,#181Tie,22,13,44.6,17:1,/best-colleges/unc-greensboro-2976,"Greensboro, NC",17707,"in-state: $6,442, out-of-state: $21,304",52,University of North Carolina—​Greensboro,225,90.5,55,48,3,58.2,2.5,4.5
68,91,3.2,65,228,19-25,211,#189Tie,11,5,56.2,16:1,/best-colleges/southern-illinois-carbondale-1758,"Carbondale, IL",17964,"in-state: $12,251, out-of-state: $24,874",46,Southern Illinois University—​Carbondale,196,96.3,44,31,-2,79.3,2.5,5.7
198,176,3.4,83,201,1030-1250,135,#189Tie,34,22,31,22:1,/best-colleges/university-of-houston-3652,"Houston, TX",39540,"in-state: $10,518, out-of-state: $24,378",55,University of Houston,90,87.9,48,69,-7,58.4,2.5,13
151,110,3.3,73,213,21-27,129,#189Tie,26,10,57.2,13:1,/best-colleges/umkc-2518,"Kansas City, MO",15746,"in-state: $9,582, out-of-state: $22,641",63,University of Missouri—​Kansas City,166,84.3,51,55,-12,65.3,2.5,7.6
77,201,3.6,77,213,19-25,192,#189Tie,N/A,15,39.4,20:1,/best-colleges/university-of-new-mexico-10313,"Albuquerque, NM",27337,"in-state: $6,846, out-of-state: $20,688",54,University of New Mexico,225,85.6,48,N/A,-6,56.7,2.7,4.4
138,77,3.2,73,190,920-1130,248,#189Tie,15,2,58.2,12:1,/best-colleges/widener-university-3313,"Chester, PA",6311,"$39,830",50,Widener University,246,68.5,56,38,6,67.3,2,3
255,211,3.3,77,173,20-24,192,#194Tie,15,8,33,21:1,/best-colleges/central-michigan-university-2243,"Mount Pleasant, MI",26902,"in-state: $11,550, out-of-state: $23,670",50,Central Michigan University,196,87.5,59,38,9,63.1,2.2,5.8
74,198,3.9,72,249,890-1120,234,#194Tie,15,10,36.7,18:1,/best-colleges/iupui-1813,"Indianapolis, IN",30488,"in-state: $8,909, out-of-state: $30,089",48,Indiana University-​Purdue University—​Indianapolis,132,86.2,42,45,-6,69.6,2.8,9.3
241,188,3.3,77,195,20-25,186,#194Tie,14,8,52.4,21:1,/best-colleges/kent-state-university-3051,"Kent, OH",28998,"in-state: $10,012, out-of-state: $17,972",45,Kent State University,225,77.6,51,40,6,83.1,2.4,4.1
156,188,3.2,70,190,19-24,186,#194Tie,12,11,47.7,15:1,/best-colleges/niu-1737,"DeKalb, IL",21138,"in-state: $13,636, out-of-state: $22,914",48,Northern Illinois University,210,91.4,51,34,3,52,2.3,5.1
177,188,3.4,73,213,21-26,192,#194Tie,18,11,46.6,18:1,/best-colleges/university-of-montana-2536,"Missoula, MT",12058,"in-state: $6,330, out-of-state: $23,146",49,University of Montana,178,86.4,48,40,-1,95.7,2.6,6.8
110,188,3.2,79,186,960-1190,192,#194Tie,23,19,34.6,22:1,/best-colleges/university-of-nevada-2568,"Reno, NV",18776,"in-state: $6,415, out-of-state: $20,325",56,University of Nevada—​Reno,132,78,51,55,-5,84.3,2.4,9.1
177,167,3.4,70,201,20-26,186,#194Tie,19,16,41.2,21:1,/best-colleges/utah-state-3677,"Logan, UT",27812,"in-state: $6,384, out-of-state: $18,491",56,Utah State University,196,93,51,44,-5,98.5,2.5,5.5
265,144,3.3,77,203,21-26,120,#201Tie,24,8,49.3,23:1,/best-colleges/la-tech-2008,"Ruston, LA",11015,"in-state: $8,052, out-of-state: $22,635",54,Louisiana Tech University,98,92.9,50,51,-4,67.4,2.3,12.4
249,248,3.6,78,178,1000-1170,179,#201Tie,19,23,25.2,19:1,/best-colleges/unc-charlotte-2975,"Charlotte, NC",26571,"in-state: $6,179, out-of-state: $18,708",54,University of North Carolina—​Charlotte,236,88.7,54,55,0,62.7,2.6,3.9
214,118,,72,170,20-25,179,"
                RNP
            ",19,0.1,68,11:1,/best-colleges/ashland-university-3012,"Ashland, OH",5979,"$19,852",58,Ashland University,210,71.6,56,49,-2,72.4,1.8,5
185,118,,60,256,833-1040,250,"
                RNP
            ",N/A,1,67.9,13:1,/best-colleges/barry-university-1466,"Miami Shores, FL",9030,"$28,160",43,Barry University,236,68.8,37,N/A,-6,46.8,1.9,3.5
192,136,,77,190,20-26,223,"
                RNP
            ",21,0.3,71.8,N/A,/best-colleges/benedictine-university-1767,"Lisle, IL",5368,"$26,950",56,Benedictine University,210,46.1,52,48,-4,69.5,2,5.2
241,198,,72,246,810-960,266,"
                RNP
            ",N/A,1,45,16:1,/best-colleges/bowie-state-university-2062,"Bowie, MD",5561,"in-state: $6,971, out-of-state: $17,538",30,Bowie State University,196,77.2,38,N/A,8,51.8,1.8,5.7
249,110,,69,210,1067-1084,211,"
                RNP
            ",9,0,92.9,N/A,/best-colleges/cardinal-stritch-university-3837,"Milwaukee, WI",,"$26,570",48,Cardinal Stritch University,246,47.9,50,39,2,42.1,1.7,2.9
166,244,,64,249,770-940,265,"
                RNP
            ",9,3,44.5,16:1,/best-colleges/clark-atlanta-university-1551,"Atlanta, GA",3458,"$21,334",34,Clark Atlanta University,246,81.1,39,31,5,56.8,2.2,3
225,231,,66,261,19-25,237,"
                RNP
            ",14,11,35.6,20:1,/best-colleges/cleveland-state-university-3032,"Cleveland, OH",17741,"in-state: $9,473, out-of-state: $12,653",38,Cleveland State University,246,73.3,32,39,-6,62.9,2.1,3.2
208,231,,80,161,960-1170,244,"
                RNP
            ",15,14,30.9,17:1,/best-colleges/east-carolina-university-2923,"Greenville, NC",26887,"in-state: $6,143, out-of-state: $21,340",53,East Carolina University,225,93.1,57,43,4,73.4,2.2,4
198,203,,69,241,19-25,218,"
                RNP
            ",19,7,41.9,N/A,/best-colleges/east-tennessee-state-university-3487,"Johnson City, TN",,"in-state: $7,985, out-of-state: $17,917",50,East Tennessee State University,225,85.6,41,45,-9,89.2,2,4
198,219,,81,220,18-22,244,"
                RNP
            ",16,12,31.9,17:1,/best-colleges/famu-1480,"Tallahassee, FL",10743,"in-state: $5,785, out-of-state: $17,725",43,Florida A&M University,196,90,41,46,-2,45,2.1,5.8
247,259,,78,220,960-1130,182,"
                RNP
            ",11,16,24.2,25:1,/best-colleges/fau-1481,"Boca Raton, FL",30759,"in-state: $6,039, out-of-state: $21,575",48,Florida Atlantic University,236,83.8,41,37,-7,47.7,2.2,3.4
233,256,,83,195,1070-1230,120,"
                RNP
            ",23,22,20.6,27:1,/best-colleges/fiu-9635,"Miami, FL",47736,"in-state: $6,496, out-of-state: $18,895",62,Florida International University,166,78.4,52,51,-10,43,2.2,7.2
265,248,,79,203,1040-1180,157,"
                RNP
            ",19,10,25.1,21:1,/best-colleges/georgia-southern-1572,"Statesboro, GA",20517,"in-state: $7,190, out-of-state: $20,086",53,Georgia Southern University,156,95.1,50,45,-3,56.8,2.2,7.8
221,264,,83,186,960-1170,200,"
                RNP
            ",N/A,15,18.9,22:1,/best-colleges/georgia-state-1574,"Atlanta, GA",32168,"in-state: $10,240, out-of-state: $28,450",57,Georgia State University,196,87.9,53,N/A,-4,53.9,2.6,5.5
249,225,,62,242,800-1020,260,"
                RNP
            ",8,11,28.5,20:1,/best-colleges/indiana-state-9563,"Terre Haute, IN",12448,"in-state: $8,416, out-of-state: $18,346",39,Indiana State University,196,85.8,42,28,3,83.1,2.4,5.8
241,244,,75,195,880-1070,260,"
                RNP
            ",8,14,29.4,18:1,/best-colleges/iup-3277,"Indiana, PA",14728,"in-state: $9,470, out-of-state: $19,700",41,Indiana University of Pennsylvania,178,95,51,23,10,90.5,2,6.6
214,261,,73,228,17-21,257,"
                RNP
            ",N/A,N/A,N/A,N/A,/best-colleges/jackson-state-2410,"Jackson, MS",,"in-state: $6,348, out-of-state: $15,552",33,Jackson State University,225,89,42,N/A,9,64.6,1.8,4.1
