financial_resources_rank,faculty_resources_rank,high_school_counselor_score_out_of_5,average_freshman_retention_rate,graduation_and_retention_rank,satact_25th_75th_percentile,student_selectivity_rank,rank,freshmen_in_top_10_percent_of_high_school_class,classes_with_50_or_more_students,classes_with_fewer_than_20_students,student_faculty_ratio,url,location,enrollment,tuition,predicted_graduation_rate,school_name,alumni_giving_rank,percent_of_faculty_who_are_full_time,six_year_graduation_rate,freshmen_in_top_25_percent_of_high_school_class,overperformanceunderperformance,fall_2013_acceptance_rate,peer_assessment_score_out_of_5,average_alumni_giving_rate
9,28,4.4,94,33,1230-1420,32,#27Tie,76,1,56.7,11:1,/best-colleges/wake-forest-2978,"Winston-Salem, NC",7602,"$46,200",89,Wake Forest University,24,90.3,86,93,-3,35.2,3.5,26.1
41,68,4.4,97,22,28-32,39,#29,65,18,47.1,15:1,/best-colleges/university-of-michigan-9092,"Ann Arbor, MI",43710,"in-state: $13,977, out-of-state: $41,811",89,University of Michigan—​Ann Arbor,46,92.5,90,94,1,33.3,4.4,19
34,68,4.5,97,29,1200-1410,32,#30,78,13,38.9,13:1,/best-colleges/unc-2974,"Chapel Hill, NC",29127,"in-state: $8,374, out-of-state: $33,624",87,University of North Carolina—​Chapel Hill,42,92.8,90,96,3,26.7,4.1,19.5
71,53,4.4,95,22,1270-1450,25,#31,81,7,51.4,13:1,/best-colleges/boston-college-2128,"Chestnut Hill, MA",13525,"$47,436",90,Boston College,24,76,91,97,1,32.2,3.6,25.7
34,20,4.5,92,40,1260-1460,45,#32,63,9,61.6,10:1,/best-colleges/nyu-2785,"New York, NY",44599,"$46,170",89,New York University,147,66.6,84,96,-5,32.4,3.8,8.5
110,55,4.4,96,27,1270-1460,25,#33Tie,80,8,48.3,12:1,/best-colleges/william-and-mary-3705,"Williamsburg, VA",8376,"in-state: $17,656, out-of-state: $39,360",89,College of William and Mary,29,87.4,90,97,1,33.2,3.7,23.7
21,23,4.1,96,37,1250-1450,30,#33Tie,75,13,70.2,10:1,/best-colleges/university-of-rochester-2894,"Rochester, NY",11020,"$46,960",90,University of Rochester,52,89.3,85,97,-5,35.7,3.4,17.9
52,49,4.1,93,29,1230-1470,42,#35Tie,65,10,60.4,10:1,/best-colleges/brandeis-university-2133,"Waltham, MA",5825,"$47,833",91,Brandeis University,19,87.7,90,89,-1,37,3.5,26.7
43,110,4.4,95,50,1290-1480,28,#35Tie,81,25,38.7,18:1,/best-colleges/georgia-tech-1569,"Atlanta, GA",21471,"in-state: $11,394, out-of-state: $30,698",87,Georgia Institute of Technology,19,94.7,82,95,-5,41.1,4.2,26.8
21,99,4.1,95,35,1180-1400,30,#37,100,35,39.7,19:1,/best-colleges/ucsd-1317,"La Jolla, CA",28731,"in-state: $13,302, out-of-state: $36,180",84,University of California—​San Diego,166,93.5,86,100,2,36.8,3.8,7.5
