high_school_counselor_score_out_of_5,average_alumni_giving_rate,peer_assessment_score_out_of_5,graduation_and_retention_rank,classes_with_50_or_more_students,satact_25th_75th_percentile,student_faculty_ratio,location,freshmen_in_top_25_percent_of_high_school_class,student_selectivity_rank,percent_of_faculty_who_are_full_time,alumni_giving_rank,overperformanceunderperformance,freshmen_in_top_10_percent_of_high_school_class,rank,tuition,fall_2013_acceptance_rate,average_freshman_retention_rate,url,six_year_graduation_rate,predicted_graduation_rate,enrollment,faculty_resources_rank,classes_with_fewer_than_20_students,school_name,financial_resources_rank
N/A,N/A,2.5,133,0%,970-1180,N/A,"Cambridge, MA",40%,59,51.7%,142,-9,15%,#111Tie,"$24,560",63.9%,76%,/best-colleges/lesley-university-2160,48%,57%,,108,72.9%,Lesley University,29
N/A,18%,2.4,121,0%,820-930,14:1,"New Haven, CT",26%,173,40.4%,12,1,5%,#115Tie,"$28,930",71.1%,80%,/best-colleges/albertus-magnus-college-1374,43%,42%,1582,16,98.1%,Albertus Magnus College,121
N/A,13.5%,2.2,108,0%,830-1070,11:1,"Caldwell, NJ",25%,124,67.8%,37,9,10%,#115Tie,"$30,050",66%,75%,/best-colleges/caldwell-college-2598,55%,46%,2182,52,69.8%,Caldwell University,99
N/A,1.7%,2.7,121,3%,920-1100,15:1,"Staten Island, NY",N/A,117,55.6%,178,12,N/A,#115Tie,"in-state: $6,509, out-of-state: $16,529",100%,83%,/best-colleges/college-of-staten-island-29040,50%,38%,14441,128,30.2%,CUNY—​College of Staten Island,156
N/A,7.5%,2.7,93,0%,17-21,N/A,"Baltimore, MD",N/A,124,74.2%,84,N/A,N/A,#115Tie,"in-state: $7,838, out-of-state: $16,288",64.4%,77%,/best-colleges/university-of-baltimore-2102,N/A,N/A,,164,29.6%,University of Baltimore,99
N/A,6.1%,2.5,74,1%,910-1090,17:1,"Westfield, MA",22%,113,72.1%,104,10,9%,#115Tie,"in-state: $8,697, out-of-state: $14,777",74.9%,80%,/best-colleges/westfield-state-college-2189,59%,49%,6370,135,34.6%,Westfield State University,174
N/A,15.7%,2.3,93,0%,810-990,13:1,"Riverdale, NY",26%,163,61.9%,18,5,8%,#120Tie,"$30,290",91.1%,71%,/best-colleges/mount-st-vincent-college-2703,52%,47%,1918,124,53.2%,College of Mount St. Vincent,80
N/A,8.7%,2.5,152,0%,830-1050,11:1,"Utica, NY",28%,151,60.7%,76,1,11%,#120Tie,"$33,736",85.4%,66%,/best-colleges/utica-college-2883,47%,46%,4028,22,66.2%,Utica College,73
N/A,1%,3,152,1%,840-1030,N/A,"New York, NY",N/A,129,65.2%,180,1,N/A,#122Tie,"in-state: $6,359, out-of-state: $16,379",52.6%,78%,/best-colleges/cuny-john-jay-2693,43%,42%,15010,152,30.6%,CUNY—​John Jay College of Criminal Justice,127
N/A,3.4%,2.3,128,1%,870-1100,13:1,"Pittsburgh, PA",31%,96,55.7%,166,4,11%,#122Tie,"$27,190",73.9%,76%,/best-colleges/point-park-university-3357,50%,46%,3841,45,74.5%,Point Park University,87
N/A,5.8%,2.8,147,1%,820-1030,14:1,"Providence, RI",40%,140,69.1%,114,-4,12%,#122Tie,"in-state: $7,602, out-of-state: $18,300",71.7%,76%,/best-colleges/rhode-island-college-3407,43%,47%,8700,79,50.1%,Rhode Island College,133
N/A,3.5%,2.7,160,1%,890-1050,15:1,"Bronx, NY",N/A,102,73.2%,166,3,N/A,#125Tie,"in-state: $6,230, out-of-state: $13,040",25.4%,80%,/best-colleges/lehman-college-7022,36%,33%,12085,156,45.9%,CUNY—​Lehman College,67
N/A,5.3%,2.7,144,2%,860-1070,16:1,"Frostburg, MD",27%,113,84.4%,120,1,10%,#125Tie,"in-state: $7,982, out-of-state: $19,274",59.5%,74%,/best-colleges/frostburg-state-university-2072,47%,46%,5474,98,49.8%,Frostburg State University,156
N/A,10.3%,2.1,121,0%,790-1010,12:1,"Lakewood, NJ",30%,166,70.1%,61,3,6%,#125Tie,"$30,998",77.9%,71%,/best-colleges/georgian-court-2608,51%,48%,2257,25,73.4%,Georgian Court University,43
N/A,4.9%,2,82,0.2%,850-1020,12:1,"Philadelphia, PA",35%,121,50.9%,124,6,11%,#125Tie,"$28,456",77.6%,77%,/best-colleges/holy-family-university-3275,55%,49%,2956,79,62.8%,Holy Family University,67
N/A,11.1%,2.4,128,1%,860-1050,14:1,"Keuka Park, NY",27%,145,82.6%,54,6,7%,#125Tie,"$28,010",87.8%,71%,/best-colleges/keuka-college-2744,48%,42%,2033,108,62.5%,Keuka College,121
N/A,5.5%,2.6,104,12%,870-1050,20:1,"Kutztown, PA",20%,129,97.3%,119,8,5%,#125Tie,"in-state: $8,833, out-of-state: $19,063",75.1%,75%,/best-colleges/kutztown-university-3322,55%,47%,9513,169,22.9%,Kutztown University of Pennsylvania,154
N/A,13.9%,2.5,108,13%,830-1050,20:1,"Sparkill, NY",30%,145,64.4%,32,7,11%,#125Tie,"$27,630",82.2%,77%,/best-colleges/st-thomas-aquinas-2832,53%,46%,1972,163,50.2%,St. Thomas Aquinas College,138
N/A,7.1%,2.6,128,0.2%,920-1110,18:1,"Worcester, MA",N/A,102,74.7%,91,-1,N/A,#125Tie,"in-state: $8,557, out-of-state: $14,637",60.6%,78%,/best-colleges/worcester-state-2190,49%,50%,6447,52,68.5%,Worcester State University,176
N/A,7.2%,2.3,128,0%,780-1000,12:1,"Radnor, PA",21%,173,54%,88,-4,4%,#133Tie,"$29,842",74.3%,72%,/best-colleges/cabrini-college-3241,46%,50%,2448,52,75.6%,Cabrini College,33
N/A,4.7%,2.5,89,11%,880-1010,22:1,"East Stroudsburg, PA",10%,171,92.3%,132,9,2%,#133Tie,"in-state: $9,376, out-of-state: $19,606",78.2%,73%,/best-colleges/east-stroudsburg-university-3320,56%,47%,6778,152,27.9%,East Stroudsburg University of Pennsylvania,151
N/A,6.2%,2.5,172,3%,820-970,16:1,"Dover, DE",26%,140,83.9%,104,1,10%,#135Tie,"in-state: $7,336, out-of-state: $15,692",44.5%,66%,/best-colleges/delaware-state-university-1428,37%,36%,4336,67,50%,Delaware State University,29
N/A,4.5%,2.5,144,9%,820-1040,19:1,"Edinboro, PA",24%,145,94.6%,139,8,6%,#135Tie,"in-state: $9,222, out-of-state: $12,632",87.4%,72%,/best-colleges/edinboro-university-3321,46%,38%,7098,128,30%,Edinboro University of Pennsylvania,145
N/A,7.8%,2.3,133,6%,850-1070,17:1,"Mansfield, PA",29%,133,91.1%,82,6,8%,#135Tie,"in-state: $9,526, out-of-state: $19,756",92.3%,71%,/best-colleges/mansfield-university-3324,50%,44%,2970,108,35.3%,Mansfield University of Pennsylvania,113
N/A,N/A,2.5,156,2%,890-1080,15:1,"Danbury, CT",28%,106,61.8%,142,-7,10%,#135Tie,"in-state: $9,077, out-of-state: $19,363",65.5%,73%,/best-colleges/western-connecticut-state-1380,44%,51%,6025,62,36.4%,Western Connecticut State University,99
,8.2%,2,166,3%,836-869,14:1,"Springfield, MA",N/A,171,39%,78,0,N/A,"
                RNP
            ","$30,941",67.7%,64%,/best-colleges/american-international-college-2114,45%,45%,3661,178,53.7%,American International College,181
,9.1%,1.9,156,1%,765-975,10:1,"Paxton, MA",N/A,158,N/A,72,6,N/A,"
                RNP
            ","$34,330",77.6%,61%,/best-colleges/anna-maria-college-2117,47%,41%,1554,174,76.6%,Anna Maria College,156
,4.5%,2.5,89,1%,890-1090,19:1,"Bridgewater, MA",N/A,138,68.4%,139,8,N/A,"
                RNP
            ","in-state: $8,228, out-of-state: $14,368",78.6%,81%,/best-colleges/bridgewater-state-college-2183,58%,50%,11267,160,43.6%,Bridgewater State University,179
,4.6%,2.4,100,15%,850-1040,20:1,"California, PA",25%,138,90.1%,132,8,6%,"
                RNP
            ","in-state: $9,556, out-of-state: $12,966",90.1%,76%,/best-colleges/cup-3316,54%,46%,8243,177,22.1%,California University of Pennsylvania,145
,N/A,2.2,115,N/A,855-1035,N/A,"Pittsburgh, PA",N/A,156,61.8%,142,7,N/A,"
                RNP
            ","$25,416",95.2%,70%,/best-colleges/carlow-university-3303,53%,46%,,172,N/A,Carlow University,163
,5.7%,2.1,115,0%,820-1090,17:1,"Hackettstown, NJ",28%,140,61.7%,114,11,10%,"
                RNP
            ","$30,942",90.9%,76%,/best-colleges/centenary-college-2599,57%,46%,2400,98,82.1%,Centenary College,138
,17.8%,2.3,152,0%,850-1060,10:1,"Philadelphia, PA",29%,113,48.9%,14,-7,10%,"
                RNP
            ","$32,510",57.4%,72%,/best-colleges/chestnut-hill-college-3245,41%,48%,2179,98,82%,Chestnut Hill College,113
,4.2%,1.8,179,10%,670-850,16:1,"Cheyney, PA",9%,181,90%,142,0,2%,"
                RNP
            ","in-state: $8,842, out-of-state: $13,148",87.7%,55%,/best-colleges/cheyney-university-3317,25%,25%,1212,142,46.6%,Cheyney University of Pennsylvania,6
,5.8%,2.3,137,7%,840-1030,20:1,"Clarion, PA",9%,166,89.2%,114,14,2%,"
                RNP
            ","in-state: $9,788, out-of-state: $13,198",93.5%,70%,/best-colleges/clarion-university-9235,53%,39%,6420,145,20.9%,Clarion University of Pennsylvania,133
,N/A,2.2,177,N/A,900-1055,N/A,"New Rochelle, NY",N/A,145,42.7%,142,2,N/A,"
                RNP
            ","$31,260",57%,56%,/best-colleges/college-new-rochelle-2704,29%,27%,,174,N/A,College of New Rochelle,163
,4.3%,2.3,165,0%,705-985,7:1,"Rutland, VT",20%,180,45.9%,142,-14,N/A,"
                RNP
            ","$21,200",72.6%,53%,/best-colleges/college-of-st-joseph-3685,21%,35%,271,45,96.6%,College of St. Joseph,73
,6.3%,2.2,180,N/A,810-950,N/A,"Baltimore, MD",N/A,158,75.4%,104,-13,N/A,"
                RNP
            ","in-state: $5,076, out-of-state: $10,010",35.5%,66%,/best-colleges/coppin-state-university-2068,16%,29%,,164,N/A,Coppin State University,163
,4.5%,2.1,152,0%,840-1030,11:1,"Milton, MA",20%,154,57%,132,-2,5%,"
                RNP
            ","$35,415",87.4%,68%,/best-colleges/curry-college-2143,45%,47%,3074,79,61.3%,Curry College,37
,4.9%,2.2,144,2%,920-1140,14:1,"Amherst, NY",51%,37,74.2%,128,-6,15%,"
                RNP
            ","$24,990",48.6%,78%,/best-colleges/daemen-college-2808,49%,55%,2871,117,57.4%,Daemen College,154
,N/A,2.1,166,1%,810-1000,15:1,"Orangeburg, NY",N/A,151,58.3%,142,-7,N/A,"
                RNP
            ","$25,702",71.9%,68%,/best-colleges/dominican-college-2713,36%,43%,1998,156,60.9%,Dominican College,127
,N/A,1.9,169,1%,N/A,15:1,"Oakdale Long Island, NY",N/A,158,52.7%,142,-9,N/A,"
                RNP
            ","$29,100",73.9%,64%,/best-colleges/dowling-college-2667,34%,43%,3182,7,75%,Dowling College,56
,18.4%,2.1,158,3%,950-1140,11:1,"Buffalo, NY",47%,59,81.4%,10,-9,27%,"
                RNP
            ","$23,462",79.2%,74%,/best-colleges/dyouville-college-2712,41%,50%,3150,122,62.6%,D'Youville College,113
,4.7%,2.1,162,0%,780-980,12:1,"Lodi, NJ",24%,176,74.2%,132,3,2%,"
                RNP
            ","$30,615",88.2%,70%,/best-colleges/felician-college-2610,46%,43%,1933,45,84.8%,Felician College,37
,4.6%,2.5,121,1%,900-1090,15:1,"Fitchburg, MA",N/A,113,85.9%,132,0,N/A,"
                RNP
            ","in-state: $9,260, out-of-state: $15,340",74.2%,76%,/best-colleges/fitchburg-state-2184,50%,50%,6663,148,37.8%,Fitchburg State University,161
,4.7%,2.5,115,1%,930-1100,16:1,"Framingham, MA",28%,87,80.1%,132,-2,8%,"
                RNP
            ","in-state: $8,080, out-of-state: $14,160",55.9%,74%,/best-colleges/framingham-state-2185,51%,53%,6429,142,40.5%,Framingham State University,171
,4.9%,2.4,147,2%,860-1060,12:1,"Rindge, NH",20%,145,56.2%,124,-6,9%,"
                RNP
            ","$31,782",92.7%,65%,/best-colleges/franklin-pierce-university-2575,44%,50%,2216,72,67%,Franklin Pierce University,90
,4.8%,2.2,160,0.4%,850-1080,15:1,"Bangor, ME",59%,87,65%,128,5,18%,"
                RNP
            ","$15,590",79.9%,70%,/best-colleges/husson-university-2043,44%,39%,3052,127,56.9%,Husson University,163
,N/A,2.2,176,N/A,N/A,N/A,"Johnson, VT",N/A,163,N/A,142,-5,N/A,"
                RNP
            ","in-state: $10,286, out-of-state: $21,950",N/A,N/A,/best-colleges/johnson-state-college-3688,33%,38%,1744,168,N/A,Johnson State College,163
,2.3%,2.4,133,0%,810-1000,17:1,"Union, NJ",26%,176,51.3%,175,2,8%,"
                RNP
            ","in-state: $11,244, out-of-state: $17,653",80.4%,77%,/best-colleges/kean-university-2622,46%,44%,14404,135,31.2%,Kean University,127
,8.1%,2.3,166,1%,770-960,17:1,"Lincoln University, PA",28%,156,78.8%,78,7,10%,"
                RNP
            ","in-state: $7,160, out-of-state: $11,836",61.3%,66%,/best-colleges/lincoln-university-pennsylvania-3290,40%,33%,1963,79,49%,Lincoln University,33
,1.8%,2.4,158,2%,880-1060,11:1,"Brookville, NY",N/A,119,66.5%,177,-13,N/A,"
                RNP
            ","$34,852",80.7%,71%,/best-colleges/liu-cw-2754,39%,52%,10599,9,62%,LIU Post,56
,6.3%,2.3,137,12%,840-1050,21:1,"Lock Haven, PA",30%,129,97.6%,104,8,9%,"
                RNP
            ","in-state: $9,276, out-of-state: $17,506",86%,70%,/best-colleges/lock-haven-university-3323,50%,42%,5260,164,29.8%,Lock Haven University of Pennsylvania,171
,N/A,1.9,128,1%,760-970,18:1,"Buffalo, NY",N/A,166,67.8%,142,5,N/A,"
                RNP
            ","$25,002",54.3%,67%,/best-colleges/medaille-college-2777,53%,48%,2391,160,51.9%,Medaille College,156
,0.6%,2,38,0%,N/A,15:1,"Bronx, NY",N/A,140,88%,181,N/A,N/A,"
                RNP
            ","$13,740",44%,75%,/best-colleges/monroe-college-4799,71%,N/A,7215,181,46.1%,Monroe College,121
,9.5%,2.3,121,1%,770-950,14:1,"Aston, PA",N/A,173,60.3%,66,2,N/A,"
                RNP
            ","$24,948",94%,72%,/best-colleges/neumann-university-3988,50%,48%,2956,148,50.5%,Neumann University,133
,5.9%,2.4,169,0%,810-1020,14:1,"Henniker, NH",12%,176,54.2%,110,-4,2%,"
                RNP
            ","$34,250",89.9%,60%,/best-colleges/new-england-college-2579,40%,44%,2401,72,79.5%,New England College,179
,3.5%,2.3,169,0%,820-1012,15:1,"Jersey City, NJ",37%,133,57.8%,166,-7,17%,"
                RNP
            ","in-state: $10,852, out-of-state: $19,424",41.3%,70%,/best-colleges/new-jersey-city-university-2613,32%,39%,8443,9,55.2%,New Jersey City University,80
,N/A,2.1,164,N/A,770-1055,N/A,"Nyack, NY",N/A,169,66.1%,142,-3,N/A,"
                RNP
            ","$23,250",96.7%,66%,/best-colleges/nyack-college-2790,41%,44%,,174,N/A,Nyack College,163
,N/A,2.1,121,N/A,860-1020,17:1,"Nashua, NH",N/A,158,61.4%,142,9,N/A,"
                RNP
            ","$28,055",N/A,77%,/best-colleges/rivier-college-2586,59%,50%,2277,172,N/A,Rivier University,90
,5.4%,2.5,147,1%,890-1080,15:1,"Salem, MA",N/A,133,71.5%,120,0,N/A,"
                RNP
            ","in-state: $8,130, out-of-state: $14,270",71.7%,77%,/best-colleges/salem-state-2188,46%,46%,9301,156,46.9%,Salem State University,138
,3.1%,2.6,147,1%,820-1020,14:1,"New Haven, CT",21%,163,66.3%,173,2,5%,"
                RNP
            ","in-state: $9,156, out-of-state: $19,442",75.4%,76%,/best-colleges/southern-connecticut-state-1406,49%,47%,10804,108,40.7%,Southern Connecticut State University,121
,N/A,2.5,100,N/A,870-1050,N/A,"Standish, ME",N/A,154,56.6%,142,3,N/A,"
                RNP
            ","$29,900",77.8%,75%,/best-colleges/st-josephs-college-maine-2051,55%,52%,,179,N/A,St. Joseph's College,163
,1.4%,1.9,82,1%,1040-1260,16:1,"New York, NY",N/A,37,62.9%,179,-13,N/A,"
                RNP
            ","$15,600",65%,83%,/best-colleges/touro-college-10142,50%,63%,13240,103,86.9%,Touro College,61
,N/A,2.7,172,N/A,N/A,N/A,"Washington, DC",N/A,145,55.1%,142,-9,N/A,"
                RNP
            ","$21,630",52.3%,64%,/best-colleges/trinity-university-dc-1460,37%,46%,,180,N/A,Trinity University,163
,2.1%,2.1,177,1%,830-1010,17:1,"Bridgeport, CT",30%,124,50.4%,176,-17,8%,"
                RNP
            ","$29,910",63.9%,58%,/best-colleges/university-of-bridgeport-1416,27%,44%,4842,77,61.5%,University of Bridgeport,99
,3.4%,2.6,174,4%,790-960,14:1,"Princess Anne, MD",N/A,169,81.1%,166,-3,N/A,"
                RNP
            ","in-state: $7,287, out-of-state: $16,311",55%,68%,/best-colleges/umes-2106,32%,35%,4222,76,56.7%,University of Maryland—​Eastern Shore,80
,3.2%,2.7,174,3%,870-1100,14:1,"Gorham, ME",34%,129,76.5%,171,-17,12%,"
                RNP
            ","in-state: $8,920, out-of-state: $21,280",82.2%,67%,/best-colleges/university-of-southern-maine-9762,32%,49%,8923,62,43%,University of Southern Maine,51
,N/A,1.9,181,N/A,N/A,N/A,"Washington, DC",N/A,140,N/A,142,-30,N/A,"
                RNP
            ","in-state: $7,255, out-of-state: $14,535",43.5%,50%,/best-colleges/udc-29100,14%,44%,5011,171,N/A,University of the District of Columbia,3
,0.7%,2.3,N/A,0%,N/A,N/A,"Cambridge, MA",N/A,N/A,11.6%,N/A,-53,N/A,"
                Unranked
            ","$13,392",63.6%,35%,/best-colleges/cambridge-college-21829,8%,61%,,N/A,86.2%,Cambridge College,N/A
,N/A,2.1,N/A,0%,N/A,N/A,"Albany, NY",N/A,N/A,N/A,N/A,N/A,N/A,"
                Unranked
            ",N/A,N/A,N/A,/best-colleges/excelsior-college-11716,N/A,N/A,,N/A,89%,Excelsior College,N/A
,N/A,3.1,N/A,0%,N/A,17:1,"New York, NY",N/A,N/A,49.3%,N/A,14,N/A,"
                Unranked
            ","in-state: $5,105, out-of-state: $13,955",44.8%,86%,/best-colleges/fit-2866,68%,54%,9755,N/A,45%,Fashion Institute of Technology,N/A
,N/A,2.3,N/A,N/A,N/A,N/A,"Plainfield, VT",N/A,N/A,40%,N/A,-22,N/A,"
                Unranked
            ","$14,930",80%,64%,/best-colleges/goddard-college-3686,34%,56%,591,N/A,N/A,Goddard College,N/A
,N/A,2.1,N/A,N/A,N/A,N/A,"Melrose Park, PA",N/A,N/A,N/A,N/A,N/A,N/A,"
                Unranked
            ",N/A,N/A,N/A,/best-colleges/gratz-college-4058,N/A,N/A,,N/A,N/A,Gratz College,N/A
,1.6%,2.2,N/A,1%,N/A,18:1,"Dobbs Ferry, NY",N/A,N/A,40.7%,N/A,-10,N/A,"
                Unranked
            ","$17,766",62.8%,69%,/best-colleges/mercy-college-2772,33%,43%,11648,N/A,45.2%,Mercy College,N/A
,N/A,1.9,N/A,0%,N/A,5:1,"New York, NY",N/A,N/A,25.2%,N/A,-10,N/A,"
                Unranked
            ","$17,530",52.3%,N/A,/best-colleges/metropolitan-college-US0002,22%,32%,1255,N/A,85.3%,Metropolitan College of New York,N/A
,3.1%,2.7,N/A,0%,890-1100,26:1,"Manchester, NH",19%,N/A,18.7%,N/A,7,7%,"
                Unranked
            ","$29,924",77.7%,72%,/best-colleges/southern-new-hampshire-university-2580,55%,48%,28143,N/A,63%,Southern New Hampshire University,N/A
,N/A,1.7,N/A,N/A,N/A,N/A,"Washington, DC",N/A,N/A,N/A,N/A,N/A,N/A,"
                Unranked
            ","$15,495",N/A,N/A,/best-colleges/strayer-1459,5%,N/A,,N/A,N/A,Strayer University,N/A
,3.8%,2.4,N/A,N/A,N/A,12:1,"Saratoga Springs, NY",N/A,N/A,35.2%,N/A,-21,N/A,"
                Unranked
            ","in-state: $6,315, out-of-state: $15,765",82%,N/A,/best-colleges/suny-empire-state-10286,23%,44%,11849,N/A,N/A,SUNY Empire State College,N/A
,3.7%,2.3,N/A,N/A,N/A,N/A,"Trenton, NJ",N/A,N/A,N/A,N/A,N/A,N/A,"
                Unranked
            ","in-state: $5,821, out-of-state: $8,516",N/A,N/A,/best-colleges/thomas-edison-state-11648,N/A,N/A,,N/A,N/A,Thomas Edison State College,N/A
,2.4%,3,N/A,0%,N/A,17:1,"Adelphi, MD",N/A,N/A,21.4%,N/A,-24,N/A,"
                Unranked
            ","in-state: $6,552, out-of-state: $12,336",100%,N/A,/best-colleges/umuc-11644,8%,32%,39557,N/A,63%,University of Maryland University College,N/A
