high_school_counselor_score_out_of_5,average_alumni_giving_rate,peer_assessment_score_out_of_5,graduation_and_retention_rank,classes_with_50_or_more_students,satact_25th_75th_percentile,student_faculty_ratio,location,freshmen_in_top_25_percent_of_high_school_class,student_selectivity_rank,percent_of_faculty_who_are_full_time,alumni_giving_rank,overperformanceunderperformance,freshmen_in_top_10_percent_of_high_school_class,rank,tuition,fall_2013_acceptance_rate,average_freshman_retention_rate,url,six_year_graduation_rate,predicted_graduation_rate,enrollment,faculty_resources_rank,classes_with_fewer_than_20_students,school_name,financial_resources_rank
N/A,14.7%,2.9,73,3%,1000-1200,12:1,"Alfred, NY",43%,37,93.5%,25,2,16%,#38Tie,"$29,610",69.8%,74%,/best-colleges/alfred-university-2668,62%,60%,2431,113,59.3%,Alfred University,22
N/A,15.6%,2.6,50,1%,950-1150,11:1,"Scranton, PA",47%,65,63.5%,19,9,20%,#38Tie,"$31,695",70.1%,83%,/best-colleges/marywood-university-3296,65%,56%,3175,30,61.9%,Marywood University,73
N/A,6.6%,2.9,45,1%,1020-1170,14:1,"Fairfield, CT",39%,76,64.3%,98,7,14%,#38Tie,"$35,750",60.7%,79%,/best-colleges/sacred-heart-university-1403,70%,63%,6989,91,42.2%,Sacred Heart University,43
N/A,13.8%,2.8,60,4%,1000-1178,12:1,"Glenside, PA",62%,17,58.4%,32,-3,28%,#41Tie,"$38,160",59.7%,80%,/best-colleges/arcadia-university-3235,61%,64%,3905,79,74.8%,Arcadia University,73
N/A,19%,2.6,50,0.1%,940-1150,13:1,"Albany, NY",44%,87,74.6%,9,7,11%,#41Tie,"$29,016",77.5%,79%,/best-colleges/st-rose-2705,66%,59%,4542,22,64.8%,College of St. Rose,73
N/A,13.2%,2.6,50,0%,940-1150,13:1,"Wilkes-Barre, PA",38%,76,80.9%,41,12,14%,#41Tie,"$31,816",71.5%,78%,/best-colleges/kings-college-pennsylvania-3282,66%,54%,2391,41,59.2%,King's College,67
N/A,20.5%,2.6,34,0%,970-1140,13:1,"Dallas, PA",56%,67,60.4%,5,14,24%,#41Tie,"$29,010",64.9%,84%,/best-colleges/misericordia-university-3247,69%,55%,3111,91,48.3%,Misericordia University,113
N/A,9.5%,2.3,38,0%,970-1140,10:1,"Rockville Centre, NY",56%,41,51%,66,12,38%,#41Tie,"$26,850",72.7%,89%,/best-colleges/molloy-college-2775,66%,54%,4455,8,68.6%,Molloy College,37
N/A,7%,2.9,68,1%,1020-1200,14:1,"Bristol, RI",37%,81,70.1%,91,-1,14%,#41Tie,"$31,750",81%,80%,/best-colleges/roger-williams-university-4917,62%,63%,5152,20,46.4%,Roger Williams University,43
N/A,3%,2.8,38,2%,980-1170,17:1,"Galloway, NJ",60%,30,70.2%,173,10,23%,#41Tie,"in-state: $12,568, out-of-state: $19,089",62.1%,86%,/best-colleges/richard-stockton-college-9345,65%,55%,8458,33,23.9%,Stockton University,133
N/A,7.3%,2.9,27,4%,1020-1180,18:1,"Oneonta, NY",58%,15,79.1%,88,9,21%,#41Tie,"in-state: $7,220, out-of-state: $16,670",43%,85%,/best-colleges/suny-oneonta-2847,68%,59%,6055,147,38.1%,SUNY College—​Oneonta,127
N/A,6.2%,2.8,54,5%,950-1140,15:1,"Fredonia, NY",39%,41,77.7%,104,13,12%,#41Tie,"in-state: $7,700, out-of-state: $16,850",52.3%,81%,/best-colleges/suny-fredonia-2844,65%,52%,5405,52,62%,SUNY—​Fredonia,127
N/A,11.1%,3.2,115,7%,1070-1270,14:1,"New York, NY",56%,9,63.7%,54,1,22%,#50Tie,"in-state: $6,129, out-of-state: $15,699",31%,86%,/best-colleges/hunter-college-2689,50%,49%,23019,128,37.7%,CUNY—​Hunter College,99
N/A,3.9%,3,58,2%,880-1060,17:1,"Montclair, NJ",35%,109,61.4%,161,11,11%,#50Tie,"in-state: $11,616, out-of-state: $21,153",65.3%,83%,/best-colleges/montclair-state-university-2617,63%,52%,19464,33,34.3%,Montclair State University,138
N/A,13.7%,2.8,142,1%,1020-1220,11:1,"Old Westbury, NY",52%,26,61.6%,37,-13,22%,#50Tie,"$32,180",74.4%,75%,/best-colleges/nyit-4804,47%,60%,7545,2,61.6%,New York Institute of Technology,11
N/A,11.8%,2.8,45,1%,930-1120,12:1,"Niagara University, NY",41%,87,66.3%,49,11,15%,#50Tie,"$29,060",66.3%,80%,/best-colleges/niagara-university-2788,65%,54%,4121,45,51.4%,Niagara University,133
N/A,10.7%,2.8,110,0%,930-1150,12:1,"Baltimore, MD",61%,30,97.7%,60,-3,33%,#50Tie,"$33,010",49.6%,73%,/best-colleges/notre-dame-maryland-2065,53%,56%,2877,14,87.9%,Notre Dame of Maryland University,29
N/A,15.6%,2.7,24,0%,1020-1190,13:1,"Newport, RI",45%,55,70.3%,19,-1,16%,#50Tie,"$35,690",67.1%,81%,/best-colleges/salve-regina-university-3411,64%,65%,2603,113,38.9%,Salve Regina University,73
N/A,21.8%,2.6,89,0%,950-1190,10:1,"Pittsburgh, PA",65%,20,59.2%,4,-11,42%,#56Tie,"$33,429",60.8%,74%,/best-colleges/chatham-university-3244,50%,61%,2170,32,83.2%,Chatham University,23
N/A,14.5%,2.6,38,1%,940-1160,14:1,"Erie, PA",29%,59,83.7%,29,7,21%,#56Tie,"$31,485",75.4%,80%,/best-colleges/mercyhurst-college-3297,61%,54%,3011,124,52.2%,Mercyhurst University,51
N/A,15%,2.5,34,2%,930-1160,14:1,"Loretto, PA",42%,67,78.2%,22,11,20%,#56Tie,"$31,078",76.1%,82%,/best-colleges/saint-francis-university-3366,70%,59%,2345,124,55.1%,St. Francis University,33
N/A,8.2%,3,78,6%,1040-1180,18:1,"Oswego, NY",55%,41,81.7%,78,7,15%,#56Tie,"in-state: $7,501, out-of-state: $17,151",48.6%,80%,/best-colleges/suny-oswego-2848,58%,51%,8117,95,55.6%,SUNY—​Oswego,138
N/A,5.1%,2.7,38,6%,960-1150,19:1,"Brockport, NY",39%,49,79.8%,124,16,12%,#60Tie,"in-state: $7,562, out-of-state: $17,212",48.1%,83%,/best-colleges/brockport-suny-2841,67%,51%,8128,140,36.4%,College at Brockport—​SUNY,108
N/A,18.1%,2.6,68,0%,1000-1180,14:1,"Boston, MA",54%,24,70.8%,12,2,17%,#60Tie,"$35,532",60.5%,82%,/best-colleges/emmanuel-college--massachusetts-2147,58%,56%,2436,128,43.9%,Emmanuel College,37
N/A,9.8%,2.7,45,1%,930-1150,14:1,"Erie, PA",54%,53,79.2%,63,6,27%,#60Tie,"$28,368",80.4%,79%,/best-colleges/gannon-university-3266,64%,58%,4211,86,53.6%,Gannon University,108
N/A,4.5%,2.9,100,1%,890-1130,11:1,"Boston, MA",42%,87,72.6%,132,-2,13%,#60Tie,"$32,660",82.5%,75%,/best-colleges/suffolk-university-2218,55%,57%,8796,22,37.3%,Suffolk University,16
N/A,4.1%,3.1,34,2%,990-1170,17:1,"Towson, MD",49%,36,76.9%,142,8,18%,#60Tie,"in-state: $8,342, out-of-state: $20,020",60.3%,85%,/best-colleges/towson-university-2099,65%,57%,22499,148,29.8%,Towson University,176
N/A,22.7%,3,151,0.4%,970-1090,14:1,"New York, NY",44%,41,54.3%,2,-13,29%,#65Tie,"in-state: $6,440, out-of-state: $15,710",33.9%,84%,/best-colleges/city-college-2688,42%,55%,15464,95,43.6%,CUNY—​City College,16
N/A,N/A,2.9,104,0.1%,N/A,24:1,"Providence, RI",N/A,158,78.4%,142,17,N/A,#65Tie,"$28,539",76%,76%,/best-colleges/johnson-and-wales-3404,54%,37%,10369,128,43.6%,Johnson & Wales University,8
N/A,13%,2.9,27,4%,1080-1230,16:1,"Salisbury, MD",59%,49,83%,43,5,23%,#65Tie,"in-state: $8,560, out-of-state: $16,906",55%,82%,/best-colleges/salisbury-university-2091,67%,62%,8643,135,34.4%,Salisbury University,178
N/A,6.2%,2.8,24,7%,1020-1190,20:1,"West Chester, PA",45%,41,88.5%,104,14,14%,#65Tie,"in-state: $9,144, out-of-state: $19,374",51.5%,86%,/best-colleges/west-chester-3328,69%,55%,15845,152,22.4%,West Chester University of Pennsylvania,171
N/A,6.4%,2.6,82,0%,960-1180,13:1,"Springfield, MA",44%,55,82.9%,101,0,17%,#65Tie,"$33,466",81.5%,75%,/best-colleges/western-new-england-college-2226,59%,59%,3800,25,51%,Western New England University,23
N/A,6%,3,104,3%,980-1170,16:1,"Brooklyn, NY",50%,30,71.2%,110,6,18%,#70Tie,"in-state: $6,535, out-of-state: $13,345",33.6%,84%,/best-colleges/brooklyn-college-2687,51%,45%,17004,145,32.6%,CUNY—​Brooklyn College,99
N/A,9.3%,2.5,27,2%,930-1190,14:1,"Center Valley, PA",47%,47,64.3%,69,10,23%,#70Tie,"$32,350",75.8%,83%,/best-colleges/desales-university-3986,70%,60%,3266,117,43.7%,DeSales University,108
N/A,5.1%,2.5,27,0%,950-1150,14:1,"Brooklyn, NY",N/A,81,57.7%,124,16,N/A,#70Tie,"$22,835",75.4%,85%,/best-colleges/st-josephs-college-new-york-2825,72%,56%,5354,86,66%,St. Joseph's College New York,90
N/A,7.1%,2.7,34,8%,980-1130,17:1,"Cortland, NY",61%,37,71.9%,91,18,22%,#70Tie,"in-state: $7,327, out-of-state: $16,777",46.8%,83%,/best-colleges/suny-cortland-2843,70%,52%,7110,170,24.9%,SUNY College—​Cortland,138
N/A,15.6%,2.5,22,0%,980-1160,14:1,"Beverly, MA",39%,59,48.8%,19,11,15%,#74Tie,"$29,494",71.9%,83%,/best-colleges/endicott-college-2148,70%,59%,5287,128,50.5%,Endicott College,156
N/A,8.9%,2.8,60,0.1%,900-1110,15:1,"New Rochelle, NY",31%,106,74.8%,73,1,10%,#74Tie,"$34,030",92.1%,82%,/best-colleges/iona-college-2737,63%,62%,4241,135,37.9%,Iona College,61
N/A,7%,2.8,78,1%,860-1080,16:1,"Keene, NH",19%,151,74.8%,91,15,4%,#74Tie,"in-state: $12,864, out-of-state: $20,784",81.8%,77%,/best-colleges/keene-state-college-2590,63%,48%,4923,25,54.7%,Keene State College,149
N/A,13.8%,2.7,93,1%,950-1160,13:1,"Northfield, VT",33%,87,72.7%,32,-2,11%,#74Tie,"$34,704",63.5%,79%,/best-colleges/norwich-university-3692,57%,59%,3111,113,57.3%,Norwich University,11
N/A,7.3%,2.7,68,5%,930-1120,16:1,"Plattsburgh, NY",45%,65,79.2%,88,10,12%,#74Tie,"in-state: $7,497, out-of-state: $17,147",45.6%,81%,/best-colleges/suny-plattsburgh-2849,60%,50%,6051,113,44.9%,SUNY—​Plattsburgh,121
N/A,3.9%,3,137,1%,900-1100,14:1,"Teaneck, NJ",43%,79,55.9%,161,-4,17%,#79Tie,"$34,882",52.7%,73%,/best-colleges/fairleigh-dickinson-8770,51%,55%,11575,36,67.1%,Fairleigh Dickinson University,61
N/A,6.6%,2.6,78,1%,960-1160,12:1,"Philadelphia, PA",45%,49,44.1%,98,-3,17%,#79Tie,"$35,080",63.4%,76%,/best-colleges/philadelphia-university-3354,58%,61%,3523,62,60.8%,Philadelphia University,56
N/A,9.7%,2.8,89,6%,950-1150,13:1,"Biddeford, ME",58%,47,76.4%,63,-4,26%,#79Tie,"$34,080",85.8%,76%,/best-colleges/university-of-new-england-2050,58%,62%,6032,95,49.7%,University of New England,90
N/A,15.1%,2.6,93,0%,890-1090,12:1,"Boston, MA",38%,102,64.6%,22,1,12%,#79Tie,"$32,830",73.2%,71%,/best-colleges/wheelock-college-2228,54%,53%,1378,103,60.3%,Wheelock College,8
N/A,12.8%,2.6,87,0%,970-1180,12:1,"Purchase, NY",N/A,96,60.4%,43,-5,N/A,#83Tie,"$36,220",76.7%,73%,/best-colleges/manhattanville-college-2760,58%,63%,2750,52,71.2%,Manhattanville College,37
N/A,8.6%,2.7,64,8%,910-1090,20:1,"Slippery Rock, PA",36%,81,94.9%,76,16,12%,#83Tie,"in-state: $9,309, out-of-state: $12,719",67%,82%,/best-colleges/slippery-rock-university-3327,63%,47%,8347,156,17.4%,Slippery Rock University of Pennsylvania,151
N/A,4.4%,2.8,100,1%,950-1150,10:1,"West Hartford, CT",N/A,106,67.5%,139,-2,N/A,#83Tie,"$35,444",65.2%,72%,/best-colleges/university-of-hartford-1422,58%,60%,6820,52,62.4%,University of Hartford,51
N/A,14%,2.5,68,6%,930-1150,14:1,"Wilkes-Barre, PA",53%,67,70.2%,31,-1,21%,#83Tie,"$31,262",80.1%,80%,/best-colleges/wilkes-university-3394,58%,59%,4665,86,52.3%,Wilkes University,87
N/A,14.7%,2.3,93,0%,748-960,10:1,"Morristown, NJ",10%,176,59.8%,25,9,1%,#87Tie,"$31,095",48.4%,69%,/best-colleges/college-of-st-elizabeth-2600,56%,47%,1552,9,87.1%,College of St. Elizabeth,14
