high_school_counselor_score_out_of_5,average_alumni_giving_rate,peer_assessment_score_out_of_5,graduation_and_retention_rank,classes_with_50_or_more_students,satact_25th_75th_percentile,student_faculty_ratio,location,freshmen_in_top_25_percent_of_high_school_class,student_selectivity_rank,percent_of_faculty_who_are_full_time,alumni_giving_rank,overperformanceunderperformance,freshmen_in_top_10_percent_of_high_school_class,rank,tuition,fall_2013_acceptance_rate,average_freshman_retention_rate,url,six_year_graduation_rate,predicted_graduation_rate,enrollment,faculty_resources_rank,classes_with_fewer_than_20_students,school_name,financial_resources_rank
N/A,1.2%,3.1,27,1%,20-25,12:1,"Mobile, AL",50%,9,72.2%,96,0,18%,#25Tie,"$19,700",71.3%,74%,/best-colleges/university-of-mobile-1029,49%,49%,1610,64,59.3%,University of Mobile,62
N/A,41.8%,3,58,2%,18-23,17:1,"Pippa Passes, KY",51%,9,80%,2,-11,18%,#29Tie,"$10,980",9.4%,58%,/best-colleges/alice-lloyd-college-1951,32%,43%,631,67,51.2%,Alice Lloyd College,51
N/A,9.9%,2.5,36,1%,780-945,16:1,"Elizabeth City, NC",5%,90,86.3%,32,14,2%,#29Tie,"in-state: $4,497, out-of-state: $16,172",51.8%,75%,/best-colleges/elizabeth-city-state-2926,42%,28%,2421,2,66.2%,Elizabeth City State University,17
N/A,14.6%,2.7,44,0.4%,19-25,11:1,"Owensboro, KY",39%,21,74.6%,17,-7,13%,#31,"$22,030",67.1%,60%,/best-colleges/kentucky-wesleyan-1969,38%,45%,657,7,84.3%,Kentucky Wesleyan College,25
N/A,2.2%,3.1,45,1%,870-1038,16:1,"Spartanburg, SC",40%,48,74.6%,71,-1,14%,#32,"in-state: $10,518, out-of-state: $20,868",56.9%,67%,/best-colleges/usc-upstate-6951,40%,41%,5358,38,52.7%,University of South Carolina—​Upstate,60
N/A,14.4%,2.7,40,0%,830-1060,12:1,"Newberry, SC",16%,57,78.6%,17,-2,8%,#33,"$24,300",59.1%,66%,/best-colleges/newberry-college-3440,44%,46%,1039,48,64%,Newberry College,10
N/A,7.1%,2.8,16,7%,20-25,N/A,"Collegedale, TN",N/A,36,99.4%,45,-8,N/A,#34,"$20,240",45.5%,74%,/best-colleges/southern-adventist-3518,44%,52%,,81,56.7%,Southern Adventist University,26
N/A,3.7%,2.8,37,2%,15-18,18:1,"Daytona Beach, FL",12%,86,88%,61,29,4%,#35Tie,"$14,410",66.6%,66%,/best-colleges/bethune-cookman-university-1467,55%,26%,3787,78,44.3%,Bethune-​Cookman University,65
N/A,2.8%,2.6,22,1%,880-1130,14:1,"Toccoa Falls, GA",44%,26,72.8%,66,0,18%,#35Tie,"$19,700",54%,69%,/best-colleges/toccoa-falls-college-1596,46%,46%,870,48,60.7%,Toccoa Falls College,45
N/A,14.3%,2.6,27,5%,19-24,15:1,"Philippi, WV",36%,23,83.6%,17,-3,11%,#37Tie,"$22,740",43.2%,64%,/best-colleges/alderson-broaddus-college-3806,45%,48%,1117,71,70.3%,Alderson Broaddus University,33
