high_school_counselor_score_out_of_5,average_alumni_giving_rate,peer_assessment_score_out_of_5,graduation_and_retention_rank,classes_with_50_or_more_students,satact_25th_75th_percentile,student_faculty_ratio,location,freshmen_in_top_25_percent_of_high_school_class,student_selectivity_rank,percent_of_faculty_who_are_full_time,alumni_giving_rank,overperformanceunderperformance,freshmen_in_top_10_percent_of_high_school_class,rank,tuition,fall_2013_acceptance_rate,average_freshman_retention_rate,url,six_year_graduation_rate,predicted_graduation_rate,enrollment,faculty_resources_rank,classes_with_fewer_than_20_students,school_name,financial_resources_rank
,N/A,2.1,77,N/A,N/A,N/A,"Denmark, SC",N/A,84,79.5%,72,4,N/A,"
                RNP
            ","$10,780",50.5%,46%,/best-colleges/voorhees-college-3455,30%,26%,,87,N/A,Voorhees College,75
,0.3%,2.4,76,0%,17-21,24:1,"Babson Park, FL",22%,65,76%,97,-4,6%,"
                RNP
            ","$24,034",63.8%,48%,/best-colleges/webber-international-university-1540,32%,36%,715,96,41.8%,Webber International University,51
,N/A,2.2,N/A,N/A,N/A,N/A,"Little Rock, AR",N/A,N/A,N/A,N/A,-11,N/A,"
                Unranked
            ","$8,040",N/A,N/A,/best-colleges/arkansas-baptist-1087,4%,15%,,N/A,N/A,Arkansas Baptist College,N/A
,2.3%,2.6,N/A,N/A,N/A,17:1,"Athens, AL",N/A,N/A,68.9%,N/A,N/A,N/A,"
                Unranked
            ","in-state: $6,120, out-of-state: $11,490",N/A,N/A,/best-colleges/athens-state-university-1008,N/A,N/A,3162,N/A,N/A,Athens State University,N/A
,N/A,2.2,N/A,N/A,N/A,N/A,"Atlanta, GA",N/A,N/A,N/A,N/A,N/A,N/A,"
                Unranked
            ","$13,089",N/A,N/A,/best-colleges/bauder-college-11574,33%,N/A,,N/A,N/A,Bauder College,N/A
,N/A,2.3,N/A,N/A,N/A,N/A,"Columbia, SC",15%,N/A,N/A,N/A,9,5%,"
                Unranked
            ","$18,254",84.3%,N/A,/best-colleges/benedict-3420,28%,19%,,N/A,N/A,Benedict College,N/A
,6.2%,2.6,N/A,1%,N/A,N/A,"Selma, AL",N/A,N/A,74.2%,N/A,-12,N/A,"
                Unranked
            ","$8,190",32.6%,39%,/best-colleges/concordia-college-alabama-10554,4%,16%,,N/A,36.6%,Concordia College,N/A
,10.5%,2.4,N/A,N/A,N/A,N/A,"Dalton, GA",N/A,N/A,N/A,N/A,-15,N/A,"
                Unranked
            ","in-state: $3,910, out-of-state: $11,768",N/A,N/A,/best-colleges/dalton-state-college-3956,14%,29%,,N/A,N/A,Dalton State College,N/A
,N/A,2.5,N/A,2%,N/A,N/A,"Daytona Beach, FL",N/A,N/A,61.7%,N/A,N/A,N/A,"
                Unranked
            ","in-state: $3,134, out-of-state: $12,421",100%,77%,/best-colleges/daytona-state-college-1475,N/A,N/A,,N/A,30.6%,Daytona State College,N/A
,N/A,1.9,N/A,N/A,N/A,N/A,"Virginia Beach, VA",N/A,N/A,N/A,N/A,N/A,N/A,"
                Unranked
            ","$14,245",N/A,N/A,/best-colleges/ecpi-25354,34%,N/A,,N/A,N/A,ECPI University,N/A
,N/A,2.6,N/A,1%,850-1030,25:1,"Fort Myers, FL",N/A,N/A,54.2%,N/A,N/A,N/A,"
                Unranked
            ","in-state: $3,281, out-of-state: $12,979",79.2%,61%,/best-colleges/edison-state-college-1477,N/A,N/A,15800,N/A,30.2%,Florida SouthWestern State College,N/A
,N/A,2.9,N/A,N/A,N/A,N/A,"Jacksonville, FL",N/A,N/A,N/A,N/A,N/A,N/A,"
                Unranked
            ","in-state: $2,830, out-of-state: $9,944",N/A,N/A,/best-colleges/florida-state-college--jacksonville-1484,N/A,N/A,,N/A,N/A,Florida State College—​Jacksonville,N/A
,1.8%,2.7,N/A,N/A,N/A,N/A,"Pulaski, TN",N/A,N/A,N/A,N/A,4,N/A,"
                Unranked
            ","$23,100",N/A,N/A,/best-colleges/martin-methodist-3504,41%,37%,,N/A,N/A,Martin Methodist College,N/A
,N/A,3,N/A,N/A,N/A,N/A,"Miami, FL",N/A,N/A,N/A,N/A,N/A,N/A,"
                Unranked
            ","in-state: $3,426, out-of-state: $11,955",N/A,N/A,/best-colleges/miami-dade-college-1506,N/A,N/A,,N/A,N/A,Miami Dade College,N/A
,20.2%,1.9,N/A,6%,778-943,12:1,"Elizabeth City, NC",28%,N/A,50%,N/A,-19,13%,"
                Unranked
            ","$13,105",N/A,54%,/best-colleges/roanoke-bible-college-22809,30%,49%,161,N/A,67.6%,Mid-​Atlantic Christian University,N/A
,N/A,2.4,N/A,N/A,N/A,N/A,"Birmingham, AL",N/A,N/A,N/A,N/A,0,N/A,"
                Unranked
            ","$11,454",N/A,N/A,/best-colleges/miles-college-1028,20%,20%,,N/A,N/A,Miles College,N/A
,N/A,2.2,N/A,N/A,N/A,N/A,"Sumter, SC",N/A,N/A,N/A,N/A,4,N/A,"
                Unranked
            ","$11,087",N/A,N/A,/best-colleges/morris-college-3439,30%,26%,,N/A,N/A,Morris College,N/A
,0.5%,2.6,N/A,N/A,N/A,N/A,"Niceville, FL",N/A,N/A,N/A,N/A,N/A,N/A,"
                Unranked
            ","in-state: $3,064, out-of-state: $11,373",N/A,N/A,/best-colleges/northwest-florida-state-1510,N/A,N/A,,N/A,N/A,Northwest Florida State College,N/A
,N/A,2.2,N/A,N/A,N/A,N/A,"Knoxville, TN",N/A,N/A,N/A,N/A,N/A,N/A,"
                Unranked
            ","$18,875",N/A,N/A,/best-colleges/south-college-4938,28%,N/A,,N/A,N/A,South College,N/A
,N/A,2.4,N/A,N/A,N/A,N/A,"St. Catharine, KY",N/A,N/A,N/A,N/A,-12,N/A,"
                Unranked
            ","$18,026",N/A,N/A,/best-colleges/st-catharine-college-1983,27%,39%,,N/A,N/A,St. Catharine College,N/A
,N/A,2.8,N/A,N/A,N/A,N/A,"St. Petersburg, FL",N/A,N/A,N/A,N/A,N/A,N/A,"
                Unranked
            ","in-state: $3,232, out-of-state: $11,477",N/A,N/A,/best-colleges/st-petersburg-college-1528,N/A,N/A,,N/A,N/A,St. Petersburg College,N/A
,N/A,2.7,N/A,N/A,N/A,N/A,"Parkersburg, WV",N/A,N/A,N/A,N/A,3,N/A,"
                Unranked
            ","in-state: $2,712, out-of-state: $9,648",N/A,N/A,/best-colleges/west-virginia-parkersburg-3828,26%,23%,,N/A,N/A,West Virginia University—​Parkersburg,N/A
