high_school_counselor_score_out_of_5,average_alumni_giving_rate,peer_assessment_score_out_of_5,graduation_and_retention_rank,classes_with_50_or_more_students,satact_25th_75th_percentile,student_faculty_ratio,location,freshmen_in_top_25_percent_of_high_school_class,student_selectivity_rank,percent_of_faculty_who_are_full_time,alumni_giving_rank,overperformanceunderperformance,freshmen_in_top_10_percent_of_high_school_class,rank,tuition,fall_2013_acceptance_rate,average_freshman_retention_rate,url,six_year_graduation_rate,predicted_graduation_rate,enrollment,faculty_resources_rank,classes_with_fewer_than_20_students,school_name,financial_resources_rank
,N/A,2.3,119,N/A,17-20,25:1,"Baton Rouge, LA",23%,119,83.4%,104,2,9%,"
                RNP
            ","in-state: $6,630, out-of-state: $8,274",N/A,69%,/best-colleges/southern-university-9636,32%,30%,6723,124,N/A,Southern University and A&M College,108
,N/A,2.3,126,N/A,840-1290,N/A,"New Orleans, LA",N/A,114,100%,104,-15,N/A,"
                RNP
            ","$4,911",48.9%,61%,/best-colleges/southern-new-orleans-2026,11%,26%,,114,N/A,Southern University—​New Orleans,108
,N/A,2.3,58,N/A,810-1050,N/A,"Central, SC",N/A,123,76%,104,5,N/A,"
                RNP
            ","$22,200",93.7%,63%,/best-colleges/southern-wesleyan-3422,47%,42%,,122,N/A,Southern Wesleyan University,108
,N/A,1.9,127,N/A,N/A,N/A,"Savannah, GA",N/A,108,67.2%,104,N/A,N/A,"
                RNP
            ","$16,360",51.6%,30%,/best-colleges/south-university-georgia-13039,18%,N/A,,116,N/A,South University,108
,5%,2.4,113,N/A,840-1040,N/A,"Greeneville, TN",N/A,111,67%,73,-11,N/A,"
                RNP
            ","$22,250",72.3%,57%,/best-colleges/tusculum-college-3527,34%,45%,,122,N/A,Tusculum College,108
,3.5%,2.4,119,3%,18-22,15:1,"Livingston, AL",N/A,90,73%,95,-5,N/A,"
                RNP
            ","in-state: $7,660, out-of-state: $14,170",61%,56%,/best-colleges/west-alabama-1024,31%,36%,4427,77,57.2%,University of West Alabama,108
,0.8%,2.3,94,1%,16-21,N/A,"Lake Wales, FL",21%,115,69.5%,126,2,5%,"
                RNP
            ","$18,430",49.5%,59%,/best-colleges/warner-university-8848,38%,36%,,107,58%,Warner University,80
,N/A,2.1,N/A,N/A,N/A,21:1,"Charles Town, WV",N/A,N/A,43%,N/A,N/A,N/A,"
                Unranked
            ","$8,000",N/A,91%,/best-colleges/american-public-university-system-38193,21%,N/A,55422,N/A,N/A,American Public University System,N/A
,N/A,1.9,N/A,0%,N/A,14:1,"Naples, FL",N/A,N/A,77.7%,N/A,-10,N/A,"
                Unranked
            ","$12,740",95.6%,N/A,/best-colleges/hodges-university-30375,16%,26%,2081,N/A,84.2%,Hodges University,N/A
,N/A,2.1,N/A,N/A,N/A,N/A,"Salem, WV",N/A,N/A,N/A,N/A,N/A,N/A,"
                Unranked
            ","$17,700",N/A,N/A,/best-colleges/salem-international-3820,27%,N/A,,N/A,N/A,Salem International University,N/A
,N/A,2,N/A,N/A,N/A,N/A,"Louisville, KY",N/A,N/A,N/A,N/A,N/A,N/A,"
                Unranked
            ","$17,970",N/A,N/A,/best-colleges/sullivan-university-4619,N/A,N/A,,N/A,N/A,Sullivan University,N/A
,N/A,2.4,N/A,N/A,N/A,N/A,"Monticello, AR",N/A,N/A,N/A,N/A,N/A,N/A,"
                Unranked
            ","in-state: $5,793, out-of-state: $11,590",N/A,N/A,/best-colleges/university-of-arkansas-monticello-1085,26%,N/A,,N/A,N/A,University of Arkansas—​Monticello,N/A
