high_school_counselor_score_out_of_5,average_alumni_giving_rate,peer_assessment_score_out_of_5,graduation_and_retention_rank,classes_with_50_or_more_students,satact_25th_75th_percentile,student_faculty_ratio,location,freshmen_in_top_25_percent_of_high_school_class,student_selectivity_rank,percent_of_faculty_who_are_full_time,alumni_giving_rank,overperformanceunderperformance,freshmen_in_top_10_percent_of_high_school_class,rank,tuition,fall_2013_acceptance_rate,average_freshman_retention_rate,url,six_year_graduation_rate,predicted_graduation_rate,enrollment,faculty_resources_rank,classes_with_fewer_than_20_students,school_name,financial_resources_rank
N/A,4.5%,3,70,2%,18-24,13:1,"Columbus, MS",59%,33,83.5%,82,-4,26%,#47Tie,"in-state: $5,640, out-of-state: $15,360",43.5%,76%,/best-colleges/mississippi-women-2422,39%,43%,2629,41,66.8%,Mississippi University for Women,48
N/A,6.8%,2.7,53,1%,850-1090,10:1,"Winchester, VA",36%,98,81.2%,51,-10,13%,#47Tie,"$30,188",84.4%,76%,/best-colleges/shenandoah-university-3737,45%,55%,4003,9,71.3%,Shenandoah University,17
N/A,17.7%,2.9,62,1%,830-1060,10:1,"Staunton, VA",46%,92,80.7%,9,-12,16%,#49Tie,"$29,595",92.5%,62%,/best-colleges/mary-baldwin-3723,39%,51%,1707,31,54.4%,Mary Baldwin College,34
N/A,18.2%,2.6,48,0%,20-25,13:1,"Crestview Hills, KY",27%,64,75.3%,8,3,11%,#49Tie,"$28,618",87.8%,66%,/best-colleges/thomas-more-college-2001,57%,54%,1600,72,78.6%,Thomas More College,48
N/A,4.5%,2.7,42,2%,925-1180,13:1,"West Palm Beach, FL",N/A,64,71.6%,82,-9,N/A,#51Tie,"$26,274",84.1%,69%,/best-colleges/palm-beach-atlantic-8849,48%,57%,3764,33,64%,Palm Beach Atlantic University,31
N/A,8.2%,2.8,35,12%,1080-1230,20:1,"Jacksonville, FL",56%,9,83.3%,46,-6,24%,#51Tie,"in-state: $6,385, out-of-state: $20,103",53.4%,83%,/best-colleges/university-of-north-florida-9841,50%,56%,16083,102,25.1%,University of North Florida,95
N/A,9.2%,2.9,85,5%,21-26,18:1,"State University, AR",47%,30,89.2%,38,-4,25%,#53Tie,"in-state: $7,720, out-of-state: $13,480",75.5%,71%,/best-colleges/arkansas-state-1090,36%,40%,13552,64,47.9%,Arkansas State University,75
N/A,5.4%,2.3,62,1%,19-27,13:1,"Harrogate, TN",N/A,80,88%,70,3,N/A,#53Tie,"$19,970",70%,68%,/best-colleges/lincoln-memorial-university-3502,48%,45%,3952,10,82%,Lincoln Memorial University,20
N/A,7.6%,2.7,72,4%,19-25,18:1,"Morehead, KY",46%,45,90.6%,47,3,19%,#53Tie,"in-state: $7,866, out-of-state: $19,666",83.3%,69%,/best-colleges/morehead-state-university-1976,45%,42%,11358,41,54.5%,Morehead State University,63
N/A,5.9%,2.7,50,7%,20-25,17:1,"Martin, TN",59%,50,76.5%,65,-4,27%,#53Tie,"in-state: $7,880, out-of-state: $22,660",76.7%,73%,/best-colleges/university-of-tennessee-martin-3531,46%,50%,7423,34,54.3%,University of Tennessee—​Martin,78
N/A,4.8%,2.8,64,3%,910-1090,17:1,"Conway, SC",33%,77,82.1%,77,-4,10%,#57Tie,"in-state: $10,140, out-of-state: $23,480",64.2%,63%,/best-colleges/coastal-carolina-university-3451,46%,50%,9478,41,36.2%,Coastal Carolina University,51
N/A,9.2%,2.7,46,7%,21-27,18:1,"Cleveland, TN",49%,50,66.7%,38,-1,25%,#57Tie,"$14,280",91.7%,73%,/best-colleges/lee-university-3500,52%,53%,4922,81,51.6%,Lee University,95
N/A,5%,3.1,81,9%,21-25,18:1,"Chattanooga, TN",45%,33,81.2%,73,-14,N/A,#57Tie,"in-state: $8,138, out-of-state: $24,256",77.6%,68%,/best-colleges/university-of-tennessee-chattanooga-3529,37%,51%,11674,64,38.8%,University of Tennessee—​Chattanooga,75
N/A,7.6%,2.8,30,3%,1010-1190,22:1,"Dahlonega, GA",70%,9,80.6%,49,-5,28%,#60Tie,"in-state: $6,816, out-of-state: $19,712",60.3%,79%,/best-colleges/north-georgia-state-1585,52%,57%,15455,114,30.2%,University of North Georgia,125
N/A,6.8%,2.5,66,1%,16-19,N/A,"Winston-Salem, NC",35%,111,89.9%,51,7,13%,#60Tie,"in-state: $5,468, out-of-state: $14,281",55.7%,78%,/best-colleges/winston-salem-state-2986,39%,32%,,46,47.1%,Winston-​Salem State University,26
N/A,4.5%,3,92,5%,19-24,N/A,"Clarksville, TN",37%,83,80.2%,82,-3,14%,#62Tie,"in-state: $7,462, out-of-state: $23,860",86%,68%,/best-colleges/austin-peay-state-university-3478,38%,41%,10399,54,53%,Austin Peay State University,80
N/A,N/A,2.8,89,4%,19-25,16:1,"Richmond, KY",N/A,60,80.8%,104,-4,N/A,#62Tie,"in-state: $7,920, out-of-state: $17,448",73.8%,66%,/best-colleges/eku-1963,39%,43%,16111,77,56.1%,Eastern Kentucky University,31
N/A,12.4%,2.5,64,0%,870-1080,12:1,"Misenheimer, NC",35%,99,84.8%,23,-1,11%,#62Tie,"$25,590",98.3%,68%,/best-colleges/pfeiffer-university-2955,48%,49%,1860,23,75.2%,Pfeiffer University,51
N/A,8.6%,2.7,53,0.3%,19-25,12:1,"Jackson, MS",26%,63,59.3%,44,-12,8%,#65Tie,"$20,780",55.8%,67%,/best-colleges/belhaven-2397,39%,51%,2986,108,76.7%,Belhaven University,29
N/A,10.6%,2.4,72,5%,800-950,15:1,"Durham, NC",22%,117,88.7%,33,8,6%,#65Tie,"in-state: $5,525, out-of-state: $16,940",38.8%,71%,/best-colleges/north-carolina-central-2950,40%,32%,8093,64,40%,North Carolina Central University,26
N/A,4.8%,2.6,58,0%,910-1093,14:1,"Saint Leo, FL",29%,104,81.8%,77,1,9%,#65Tie,"$20,110",76.6%,70%,/best-colleges/saint-leo-university-1526,46%,45%,5869,19,51.8%,Saint Leo University,101
N/A,0.8%,2.5,85,0%,785-990,14:1,"Miami Gardens, FL",11%,120,72.9%,126,-5,6%,#65Tie,"$27,150",42.5%,67%,/best-colleges/st-thomas-university-1468,40%,45%,2315,5,60.2%,St. Thomas University,9
N/A,6.6%,2.7,66,3%,20-26,17:1,"Conway, AR",43%,37,89.4%,54,-8,19%,#65Tie,"in-state: $7,889, out-of-state: $13,806",92.1%,71%,/best-colleges/uca-1092,42%,50%,11534,57,45%,University of Central Arkansas,101
N/A,4.6%,3,58,16%,990-1170,21:1,"Kennesaw, GA",53%,23,77.8%,82,-11,21%,#70Tie,"in-state: $6,932, out-of-state: $19,828",55.4%,77%,/best-colleges/kennesaw-state-university-1577,43%,54%,24629,127,24.6%,Kennesaw State University,90
N/A,7.8%,2.7,89,3%,20-25,19:1,"Highland Heights, KY",32%,40,76.8%,47,-8,11%,#70Tie,"in-state: $8,856, out-of-state: $17,328",58.5%,67%,/best-colleges/northern-kentucky-university-9275,38%,46%,15263,85,34.1%,Northern Kentucky University,44
N/A,5%,2.3,50,0.2%,920-1150,14:1,"Demorest, GA",47%,70,74.1%,73,-7,22%,#70Tie,"$21,350",60.1%,73%,/best-colleges/piedmont-college-1588,46%,53%,2368,15,74%,Piedmont College,63
N/A,4.5%,2.5,94,5%,16-19,16:1,"Alcorn State, MS",N/A,116,90.6%,82,6,N/A,#73Tie,"in-state: $6,096, out-of-state: $15,096",82.9%,68%,/best-colleges/alcorn-state-university-2396,35%,29%,3848,51,51.4%,Alcorn State University,23
N/A,5.2%,2.6,85,0.3%,910-1110,14:1,"Jacksonville, FL",N/A,96,79.6%,73,-14,N/A,#73Tie,"$31,370",47.4%,63%,/best-colleges/jacksonville-university-1495,38%,52%,4157,28,66.6%,Jacksonville University,19
N/A,2.9%,2.7,72,4%,950-1120,20:1,"Valdosta, GA",N/A,76,88.7%,99,-4,N/A,#75,"in-state: $7,162, out-of-state: $20,058",55.2%,68%,/best-colleges/valdosta-state-1599,40%,44%,11885,67,45.9%,Valdosta State University,95
